# Time r Q MSE
244.258164 0.741263 0.324153 0.796471
247.121878 0.741263 0.324153 0.796471
249.651615 0.741263 0.324153 0.796470
252.181352 0.741263 0.324152 0.796470
254.711089 0.741263 0.324153 0.796470
257.240826 0.741263 0.324153 0.796471
259.696830 0.741263 0.324153 0.796470
262.152835 0.741263 0.324153 0.796470
264.608840 0.741263 0.324153 0.796470
267.064844 0.741263 0.324153 0.796471
269.786456 0.741263 0.324153 0.796470
272.508069 0.741263 0.324153 0.796470
275.229681 0.741263 0.324153 0.796470
277.951293 0.741263 0.324153 0.796471
281.002398 0.741263 0.324153 0.796470
284.053504 0.741263 0.324152 0.796470
287.104609 0.741263 0.324153 0.796470
290.155714 0.741263 0.324153 0.796471
292.616785 0.741263 0.324153 0.796470
295.077857 0.741263 0.324153 0.796470
297.538928 0.741263 0.324153 0.796470
300.000000 0.741263 0.324153 0.796471
