#S2/S1 STVMSE
0	0.175766
0.01	0.1744
0.02	0.173051
0.03	0.171721
0.04	0.170408
0.05	0.169114
0.06	0.167837
0.07	0.166578
0.08	0.165338
0.09	0.164115
0.1	0.16291
0.11	0.161722
0.12	0.160553
0.13	0.159401
0.14	0.158268
0.15	0.157152
0.16	0.156053
0.17	0.154973
0.18	0.15391
0.19	0.152865
0.2	0.151837
0.21	0.150827
0.22	0.149835
0.23	0.14886
0.24	0.147903
0.25	0.146963
0.26	0.146041
0.27	0.145136
0.28	0.144248
0.29	0.143378
0.3	0.142525
0.31	0.14169
0.32	0.140871
0.33	0.14007
0.34	0.139286
0.35	0.138518
0.36	0.137768
0.37	0.137035
0.38	0.136318
0.39	0.135619
0.4	0.134936
0.41	0.134269
0.42	0.133619
0.43	0.132986
0.44	0.132369
0.45	0.131768
0.46	0.131183
0.47	0.130614
0.48	0.130061
0.49	0.129524
0.5	0.129003
0.51	0.128496
0.52	0.128006
0.53	0.12753
0.54	0.127069
0.55	0.126623
0.56	0.126191
0.57	0.125774
0.58	0.125371
0.59	0.124981
0.6	0.124605
0.61	0.124243
0.62	0.123893
0.63	0.123556
0.64	0.12323
0.65	0.122917
0.66	0.122615
0.67	0.122324
0.68	0.122044
0.69	0.121773
0.7	0.121512
0.71	0.12126
0.72	0.121016
0.73	0.120779
0.74	0.120549
0.75	0.120326
0.76	0.120108
0.77	0.119894
0.78	0.119684
0.79	0.119477
0.8	0.119273
0.81	0.119069
0.82	0.118866
0.83	0.118663
0.84	0.118459
0.85	0.118253
0.86	0.118045
0.87	0.117835
0.88	0.117623
0.89	0.11741
0.9	0.117195
0.91	0.11698
0.92	0.116767
0.93	0.116558
0.94	0.116357
0.95	0.116166
0.96	0.115989
0.97	0.115832
0.98	0.115698
0.99	0.115593
1	0.115521
1.01	0.115485
1.02	0.115489
1.03	0.115533
1.04	0.115618
1.05	0.115743
1.06	0.115905
1.07	0.1161
1.08	0.116323
1.09	0.116571
1.1	0.116836
1.11	0.117116
1.12	0.117406
1.13	0.117702
1.14	0.118001
1.15	0.1183
1.16	0.118598
1.17	0.118893
1.18	0.119184
1.19	0.11947
1.2	0.11975
1.21	0.120025
1.22	0.120292
1.23	0.120554
1.24	0.120809
1.25	0.121057
1.26	0.1213
1.27	0.121536
1.28	0.121765
1.29	0.121989
1.3	0.122207
1.31	0.122418
1.32	0.122624
1.33	0.122825
1.34	0.12302
1.35	0.12321
1.36	0.123395
1.37	0.123575
1.38	0.12375
1.39	0.12392
1.4	0.124086
1.41	0.124247
1.42	0.124404
1.43	0.124557
1.44	0.124705
1.45	0.12485
1.46	0.124991
1.47	0.125128
1.48	0.125262
1.49	0.125391
1.5	0.125518
1.51	0.125641
1.52	0.125761
1.53	0.125877
1.54	0.125991
1.55	0.126101
1.56	0.126209
1.57	0.126314
1.58	0.126416
1.59	0.126515
1.6	0.126612
1.61	0.126706
1.62	0.126798
1.63	0.126887
1.64	0.126974
1.65	0.127059
1.66	0.127141
1.67	0.127221
1.68	0.127299
1.69	0.127375
1.7	0.127449
1.71	0.127521
1.72	0.127591
1.73	0.127659
1.74	0.127726
1.75	0.12779
1.76	0.127853
1.77	0.127915
1.78	0.127974
1.79	0.128032
1.8	0.128089
1.81	0.128144
1.82	0.128197
1.83	0.128249
1.84	0.1283
1.85	0.128349
1.86	0.128397
1.87	0.128443
1.88	0.128489
1.89	0.128533
1.9	0.128576
1.91	0.128617
1.92	0.128658
1.93	0.128697
1.94	0.128735
1.95	0.128773
1.96	0.128809
1.97	0.128844
1.98	0.128878
1.99	0.128912
2	0.128944
2.01	0.128976
2.02	0.129006
2.03	0.129036
2.04	0.129065
2.05	0.129093
2.06	0.12912
2.07	0.129146
2.08	0.129172
2.09	0.129197
2.1	0.129221
2.11	0.129245
2.12	0.129267
2.13	0.12929
2.14	0.129311
2.15	0.129332
2.16	0.129352
2.17	0.129372
2.18	0.129391
2.19	0.129409
2.2	0.129427
2.21	0.129445
2.22	0.129462
2.23	0.129478
2.24	0.129494
2.25	0.129509
2.26	0.129524
2.27	0.129539
2.28	0.129553
2.29	0.129566
2.3	0.12958
2.31	0.129592
2.32	0.129605
2.33	0.129617
2.34	0.129628
2.35	0.129639
2.36	0.12965
2.37	0.129661
2.38	0.129671
2.39	0.129681
2.4	0.12969
2.41	0.1297
2.42	0.129709
2.43	0.129717
2.44	0.129726
2.45	0.129734
2.46	0.129742
2.47	0.129749
2.48	0.129756
2.49	0.129763
2.5	0.12977
2.51	0.129777
2.52	0.129783
2.53	0.129789
2.54	0.129795
2.55	0.129801
2.56	0.129807
2.57	0.129812
2.58	0.129817
2.59	0.129822
2.6	0.129827
2.61	0.129832
2.62	0.129836
2.63	0.129841
2.64	0.129845
2.65	0.129849
2.66	0.129852
2.67	0.129856
2.68	0.12986
2.69	0.129863
2.7	0.129867
2.71	0.12987
2.72	0.129873
2.73	0.129876
2.74	0.129879
2.75	0.129882
2.76	0.129884
2.77	0.129887
2.78	0.129889
2.79	0.129892
2.8	0.129894
2.81	0.129896
2.82	0.129898
2.83	0.1299
2.84	0.129902
2.85	0.129904
2.86	0.129906
2.87	0.129908
2.88	0.12991
2.89	0.129911
2.9	0.129913
2.91	0.129914
2.92	0.129916
2.93	0.129917
2.94	0.129918
2.95	0.12992
2.96	0.129921
2.97	0.129922
2.98	0.129923
2.99	0.129924
3	0.129925
