#time          Q              r            MSE
0   1e-09   1e-09   0.516059
0.00025   0.000129   0.000170652   0.515955
0.0005   0.000257966   0.00034126   0.515851
0.00075   0.0003869   0.000511826   0.515747
0.001   0.000515802   0.000682349   0.515643
0.00225   0.00115983   0.00153433   0.515123
0.0035   0.00180305   0.00238524   0.514605
0.00475   0.00244547   0.00323509   0.514087
0.006   0.00308708   0.00408387   0.51357
0.01225   0.00628316   0.00831193   0.510993
0.0185   0.00945932   0.0125136   0.508432
0.02475   0.0126157   0.0166892   0.505887
0.031   0.0157524   0.0208387   0.503358
0.0608464   0.0304647   0.0403011   0.49148
0.0906928   0.0447676   0.0592074   0.479912
0.120539   0.0587116   0.0775998   0.468682
0.150386   0.0723532   0.0955232   0.457832
0.188936   0.0896167   0.11805   0.444417
0.227486   0.106567   0.139944   0.43168
0.266037   0.123287   0.161271   0.4196
0.304587   0.139841   0.182083   0.408144
0.358173   0.162676   0.210241   0.393183
0.411759   0.185409   0.237593   0.379253
0.465344   0.208132   0.26422   0.36626
0.51893   0.230918   0.290195   0.354118
0.584177   0.258831   0.321024   0.340377
0.649425   0.28701   0.351063   0.327673
0.714672   0.315522   0.380388   0.315902
0.779919   0.344426   0.409067   0.304978
0.856621   0.378966   0.442032   0.293116
0.933322   0.414171   0.474264   0.282209
1.01002   0.450094   0.505834   0.272164
1.08673   0.486776   0.536805   0.2629
1.17209   0.528537   0.570634   0.253419
1.25745   0.571323   0.60385   0.244729
1.34282   0.615168   0.636513   0.236753
1.42818   0.660102   0.668671   0.229424
1.52102   0.710236   0.703127   0.222117
1.61386   0.761711   0.737089   0.215437
1.7067   0.814552   0.770603   0.209322
1.79954   0.868777   0.803708   0.20372
1.89942   0.928674   0.838905   0.198211
1.9993   0.990208   0.873708   0.193186
2.09917   1.05339   0.908152   0.188598
2.19905   1.11824   0.942267   0.184404
2.30826   1.19106   0.979227   0.180227
2.41747   1.26589   1.01586   0.176432
2.52668   1.34274   1.05219   0.172982
2.63589   1.42162   1.08824   0.169841
2.75792   1.51216   1.12824   0.16666
2.87995   1.60524   1.16794   0.163788
3.00198   1.70087   1.20738   0.161193
3.12401   1.79905   1.24659   0.158843
3.26004   1.91149   1.29003   0.156483
3.39606   2.02711   1.33322   0.154364
3.53209   2.1459   1.37618   0.152459
3.66811   2.26786   1.41893   0.150743
3.81967   2.40748   1.46634   0.149029
3.97122   2.55104   1.51354   0.147498
4.12278   2.69852   1.56053   0.146128
4.27433   2.84994   1.60735   0.1449
4.44311   3.02317   1.65929   0.143679
4.61189   3.20126   1.71104   0.142594
4.78066   3.38421   1.76261   0.141627
4.94944   3.57201   1.81403   0.140764
5.13727   3.78669   1.87108   0.13991
5.3251   4.00736   1.92796   0.139154
5.51293   4.23401   1.98469   0.138484
5.70076   4.46663   2.04128   0.137888
5.90961   4.73229   2.10406   0.137301
6.11847   5.00531   2.16668   0.136784
6.32733   5.28568   2.22918   0.136328
6.53618   5.57338   2.29154   0.135925
6.76821   5.9016   2.36069   0.13553
7.00023   6.23884   2.42971   0.135184
7.23225   6.58511   2.49861   0.13488
7.46427   6.94039   2.56739   0.134613
7.71427   7.33327   2.64139   0.134361
7.96427   7.73658   2.71527   0.134141
8.21427   8.15032   2.78905   0.133949
8.46427   8.57448   2.86274   0.133781
8.71427   9.00903   2.93633   0.133633
8.96427   9.45398   3.00985   0.133504
9.21427   9.90932   3.08328   0.133391
9.46427   10.375   3.15663   0.133292
9.71427   10.8511   3.22992   0.133206
9.96427   11.3375   3.30314   0.13313
10.2143   11.8343   3.3763   0.133064
10.4643   12.3414   3.4494   0.133006
10.7143   12.8589   3.52245   0.132956
10.9643   13.3867   3.59544   0.132912
11.2143   13.9248   3.66839   0.132875
11.4643   14.4733   3.74128   0.132843
11.7143   15.032   3.81413   0.132815
11.9643   15.6011   3.88694   0.132792
12.2143   16.1804   3.9597   0.132772
12.4643   16.7701   4.03243   0.132756
12.7143   17.37   4.10512   0.132743
12.9643   17.9803   4.17777   0.132732
13.2143   18.6008   4.25039   0.132724
13.4643   19.2316   4.32298   0.132718
13.7143   19.8727   4.39553   0.132714
13.9643   20.524   4.46805   0.132712
14.2143   21.1856   4.54054   0.132711
14.4643   21.8575   4.61301   0.132711
14.7143   22.5396   4.68545   0.132713
14.9643   23.232   4.75786   0.132716
15.2143   23.9347   4.83024   0.13272
15.4643   24.6476   4.9026   0.132725
15.7143   25.3708   4.97494   0.132731
15.9643   26.1042   5.04726   0.132737
16.2143   26.8478   5.11955   0.132744
16.4643   27.6017   5.19182   0.132751
16.7143   28.3658   5.26407   0.13276
16.9643   29.1401   5.3363   0.132768
17.2143   29.9247   5.40851   0.132777
17.4643   30.7195   5.4807   0.132786
17.7143   31.5246   5.55288   0.132796
17.9643   32.3399   5.62503   0.132806
18.2143   33.1654   5.69717   0.132816
18.4643   34.0011   5.76929   0.132826
18.7143   34.847   5.8414   0.132837
18.9643   35.7032   5.91349   0.132847
19.2143   36.5695   5.98556   0.132858
19.4643   37.4461   6.05762   0.132869
19.7143   38.3329   6.12967   0.13288
19.9643   39.2299   6.2017   0.132891
20.2143   40.1371   6.27372   0.132902
20.4643   41.0545   6.34572   0.132914
20.7143   41.9821   6.41771   0.132925
20.9643   42.9199   6.48969   0.132936
21.2143   43.868   6.56165   0.132947
21.4643   44.8262   6.6336   0.132958
21.7143   45.7946   6.70554   0.13297
21.9643   46.7732   6.77747   0.132981
22.2143   47.762   6.84939   0.132992
22.4643   48.761   6.9213   0.133003
22.7143   49.7702   6.99319   0.133014
22.9643   50.7896   7.06508   0.133025
23.2143   51.8192   7.13695   0.133036
23.4643   52.8589   7.20882   0.133047
23.7143   53.9089   7.28067   0.133058
23.9643   54.969   7.35252   0.133069
24.2143   56.0394   7.42435   0.133079
24.4643   57.1199   7.49618   0.13309
24.7143   58.2106   7.568   0.133101
24.9643   59.3114   7.63981   0.133111
25.2143   60.4225   7.71161   0.133121
25.4643   61.5437   7.7834   0.133132
25.7143   62.6751   7.85518   0.133142
25.9643   63.8167   7.92695   0.133152
26.2143   64.9684   7.99872   0.133162
26.4643   66.1304   8.07048   0.133172
26.7143   67.3025   8.14223   0.133182
26.9643   68.4848   8.21397   0.133192
27.2143   69.6772   8.28571   0.133202
27.4643   70.8798   8.35743   0.133212
27.7143   72.0926   8.42916   0.133221
27.9643   73.3156   8.50087   0.133231
28.2143   74.5487   8.57258   0.13324
28.4643   75.792   8.64428   0.133249
28.7143   77.0455   8.71597   0.133259
28.9643   78.3091   8.78766   0.133268
29.2143   79.5829   8.85934   0.133277
29.4643   80.8668   8.93101   0.133286
29.7143   82.1609   9.00268   0.133295
29.9643   83.4652   9.07434   0.133304
30.2143   84.7797   9.146   0.133312
30.4643   86.1043   9.21765   0.133321
30.7143   87.439   9.28929   0.13333
30.9643   88.7839   9.36093   0.133338
31.2143   90.139   9.43256   0.133346
31.4643   91.5043   9.50419   0.133355
31.7143   92.8796   9.57581   0.133363
31.9643   94.2652   9.64742   0.133371
32.2143   95.6609   9.71904   0.133379
32.4643   97.0668   9.79064   0.133387
32.7143   98.4828   9.86224   0.133395
32.9643   99.9089   9.93384   0.133403
33.2143   101.345   10.0054   0.133411
33.4643   102.792   10.077   0.133419
33.7143   104.248   10.1486   0.133426
33.9643   105.715   10.2202   0.133434
34.2143   107.192   10.2917   0.133441
34.4643   108.679   10.3633   0.133449
34.7143   110.176   10.4349   0.133456
34.9643   111.684   10.5064   0.133463
35.2143   113.201   10.578   0.13347
35.4643   114.729   10.6495   0.133477
35.7143   116.267   10.7211   0.133485
35.9643   117.815   10.7926   0.133492
36.2143   119.373   10.8641   0.133498
36.4643   120.941   10.9357   0.133505
36.7143   122.519   11.0072   0.133512
36.9643   124.108   11.0787   0.133519
37.2143   125.707   11.1503   0.133525
37.4643   127.315   11.2218   0.133532
37.7143   128.934   11.2933   0.133539
37.9643   130.564   11.3648   0.133545
38.2143   132.203   11.4363   0.133552
38.4643   133.852   11.5078   0.133558
38.7143   135.512   11.5793   0.133564
38.9643   137.181   11.6508   0.13357
39.2143   138.861   11.7223   0.133577
39.4643   140.551   11.7938   0.133583
39.7143   142.251   11.8652   0.133589
39.9643   143.961   11.9367   0.133595
40.2143   145.682   12.0082   0.133601
40.4643   147.412   12.0797   0.133607
40.7143   149.153   12.1511   0.133612
40.9643   150.904   12.2226   0.133618
41.2143   152.665   12.2941   0.133624
41.4643   154.436   12.3655   0.13363
41.7143   156.217   12.437   0.133635
41.9643   158.008   12.5084   0.133641
42.2143   159.81   12.5799   0.133646
42.4643   161.621   12.6513   0.133652
42.7143   163.443   12.7228   0.133657
42.9643   165.275   12.7942   0.133663
43.2143   167.117   12.8657   0.133668
43.4643   168.969   12.9371   0.133673
43.7143   170.831   13.0085   0.133679
43.9643   172.704   13.08   0.133684
44.2143   174.586   13.1514   0.133689
44.4643   176.479   13.2228   0.133694
44.7143   178.381   13.2942   0.133699
44.9643   180.294   13.3657   0.133704
45.2143   182.217   13.4371   0.133709
45.4643   184.151   13.5085   0.133714
45.7143   186.094   13.5799   0.133719
45.9643   188.047   13.6513   0.133724
46.2143   190.011   13.7227   0.133729
46.4643   191.985   13.7941   0.133733
46.7143   193.968   13.8655   0.133738
46.9643   195.962   13.9369   0.133743
47.2143   197.966   14.0083   0.133747
47.4643   199.981   14.0797   0.133752
47.7143   202.005   14.1511   0.133757
47.9643   204.039   14.2225   0.133761
48.2143   206.084   14.2939   0.133766
48.4643   208.139   14.3653   0.13377
48.7143   210.203   14.4367   0.133775
48.9643   212.278   14.508   0.133779
49.2143   214.363   14.5794   0.133783
49.4643   216.459   14.6508   0.133788
49.7143   218.564   14.7222   0.133792
49.9643   220.679   14.7935   0.133796
50.2143   222.805   14.8649   0.1338
50.4643   224.941   14.9363   0.133805
50.7143   227.086   15.0076   0.133809
50.9643   229.242   15.079   0.133813
51.2143   231.408   15.1504   0.133817
51.4643   233.585   15.2217   0.133821
51.7143   235.771   15.2931   0.133825
51.9643   237.967   15.3644   0.133829
52.2143   240.174   15.4358   0.133833
52.4643   242.39   15.5071   0.133837
52.7143   244.617   15.5785   0.133841
52.9643   246.854   15.6498   0.133844
53.2143   249.101   15.7212   0.133848
53.4643   251.358   15.7925   0.133852
53.7143   253.626   15.8639   0.133856
53.9643   255.903   15.9352   0.13386
54.2143   258.191   16.0065   0.133863
54.4643   260.488   16.0779   0.133867
54.7143   262.796   16.1492   0.133871
54.9643   265.114   16.2205   0.133874
55.2143   267.442   16.2919   0.133878
55.4643   269.78   16.3632   0.133881
55.7143   272.128   16.4345   0.133885
55.9643   274.486   16.5058   0.133889
56.2143   276.855   16.5772   0.133892
56.4643   279.233   16.6485   0.133895
56.7143   281.622   16.7198   0.133899
56.9643   284.021   16.7911   0.133902
57.2143   286.43   16.8624   0.133906
57.4643   288.849   16.9338   0.133909
57.7143   291.278   17.0051   0.133912
57.9643   293.717   17.0764   0.133916
58.2143   296.167   17.1477   0.133919
58.4643   298.626   17.219   0.133922
58.7143   301.096   17.2903   0.133926
58.9643   303.575   17.3616   0.133929
59.2143   306.065   17.4329   0.133932
59.4643   308.565   17.5042   0.133935
59.7143   311.075   17.5755   0.133938
59.9643   313.595   17.6468   0.133941
60.2143   316.126   17.7181   0.133945
60.4643   318.666   17.7894   0.133948
60.7143   321.217   17.8607   0.133951
60.9643   323.777   17.932   0.133954
61.2143   326.348   18.0033   0.133957
61.4643   328.929   18.0746   0.13396
61.7143   331.52   18.1459   0.133963
61.9643   334.121   18.2171   0.133966
62.2143   336.732   18.2884   0.133969
62.4643   339.354   18.3597   0.133972
62.7143   341.985   18.431   0.133974
62.9643   344.626   18.5023   0.133977
63.2143   347.278   18.5736   0.13398
63.4643   349.94   18.6448   0.133983
63.7143   352.612   18.7161   0.133986
63.9643   355.294   18.7874   0.133989
64.2143   357.986   18.8587   0.133991
64.4643   360.688   18.9299   0.133994
64.7143   363.4   19.0012   0.133997
64.9643   366.123   19.0725   0.134
65.2143   368.855   19.1438   0.134002
65.4643   371.598   19.215   0.134005
65.7143   374.351   19.2863   0.134008
65.9643   377.114   19.3576   0.13401
66.2143   379.887   19.4288   0.134013
66.4643   382.67   19.5001   0.134016
66.7143   385.463   19.5714   0.134018
66.9643   388.266   19.6426   0.134021
67.2143   391.08   19.7139   0.134023
67.4643   393.903   19.7851   0.134026
67.7143   396.737   19.8564   0.134029
67.9643   399.58   19.9276   0.134031
68.2143   402.434   19.9989   0.134034
68.4643   405.298   20.0702   0.134036
68.7143   408.172   20.1414   0.134039
68.9643   411.056   20.2127   0.134041
69.2143   413.951   20.2839   0.134043
69.4643   416.855   20.3552   0.134046
69.7143   419.77   20.4264   0.134048
69.9643   422.694   20.4977   0.134051
70.2143   425.629   20.5689   0.134053
70.4643   428.574   20.6401   0.134055
70.7143   431.529   20.7114   0.134058
70.9643   434.494   20.7826   0.13406
71.2143   437.469   20.8539   0.134062
71.4643   440.454   20.9251   0.134065
71.7143   443.449   20.9964   0.134067
71.9643   446.455   21.0676   0.134069
72.2143   449.47   21.1388   0.134072
72.4643   452.496   21.2101   0.134074
72.7143   455.532   21.2813   0.134076
72.9643   458.578   21.3525   0.134078
73.2143   461.634   21.4238   0.134081
73.4643   464.7   21.495   0.134083
73.7143   467.776   21.5662   0.134085
73.9643   470.862   21.6375   0.134087
74.2143   473.959   21.7087   0.134089
74.4643   477.065   21.7799   0.134091
74.7143   480.182   21.8512   0.134094
74.9643   483.308   21.9224   0.134096
75.2143   486.445   21.9936   0.134098
75.4643   489.592   22.0648   0.1341
75.7143   492.749   22.1361   0.134102
75.9643   495.916   22.2073   0.134104
76.2143   499.094   22.2785   0.134106
76.4643   502.281   22.3497   0.134108
76.7143   505.478   22.4209   0.13411
76.9643   508.686   22.4922   0.134112
77.2143   511.904   22.5634   0.134114
77.4643   515.131   22.6346   0.134116
77.7143   518.369   22.7058   0.134118
77.9643   521.617   22.777   0.13412
78.2143   524.875   22.8482   0.134122
78.4643   528.143   22.9195   0.134124
78.7143   531.422   22.9907   0.134126
78.9643   534.71   23.0619   0.134128
79.2143   538.008   23.1331   0.13413
79.4643   541.317   23.2043   0.134132
79.7143   544.636   23.2755   0.134134
79.9643   547.964   23.3467   0.134136
80.2143   551.303   23.4179   0.134138
80.4643   554.652   23.4891   0.134139
80.7143   558.011   23.5603   0.134141
80.9643   561.38   23.6315   0.134143
81.2143   564.76   23.7027   0.134145
81.4643   568.149   23.774   0.134147
81.7143   571.549   23.8452   0.134149
81.9643   574.958   23.9164   0.13415
82.2143   578.378   23.9876   0.134152
82.4643   581.808   24.0588   0.134154
82.7143   585.248   24.13   0.134156
82.9643   588.698   24.2012   0.134158
83.2143   592.158   24.2724   0.134159
83.4643   595.628   24.3436   0.134161
83.7143   599.108   24.4147   0.134163
83.9643   602.598   24.4859   0.134165
84.2143   606.099   24.5571   0.134166
84.4643   609.61   24.6283   0.134168
84.7143   613.13   24.6995   0.13417
84.9643   616.661   24.7707   0.134171
85.2143   620.202   24.8419   0.134173
85.4643   623.753   24.9131   0.134175
85.7143   627.314   24.9843   0.134176
85.9643   630.885   25.0555   0.134178
86.2143   634.466   25.1267   0.13418
86.4643   638.058   25.1979   0.134181
86.7143   641.659   25.269   0.134183
86.9643   645.271   25.3402   0.134185
87.2143   648.893   25.4114   0.134186
87.4643   652.524   25.4826   0.134188
87.7143   656.166   25.5538   0.134189
87.9643   659.818   25.625   0.134191
88.2143   663.48   25.6962   0.134193
88.4643   667.152   25.7673   0.134194
88.7143   670.835   25.8385   0.134196
88.9643   674.527   25.9097   0.134197
89.2143   678.229   25.9809   0.134199
89.4643   681.942   26.0521   0.1342
89.7143   685.665   26.1232   0.134202
89.9643   689.397   26.1944   0.134204
90.2143   693.14   26.2656   0.134205
90.4643   696.893   26.3368   0.134207
90.7143   700.656   26.408   0.134208
90.9643   704.429   26.4791   0.13421
91.2143   708.213   26.5503   0.134211
91.4643   712.006   26.6215   0.134213
91.7143   715.809   26.6927   0.134214
91.9643   719.623   26.7638   0.134215
92.2143   723.447   26.835   0.134217
92.4643   727.28   26.9062   0.134218
92.7143   731.124   26.9773   0.13422
92.9643   734.978   27.0485   0.134221
93.2143   738.842   27.1197   0.134223
93.4643   742.716   27.1909   0.134224
93.7143   746.6   27.262   0.134226
93.9643   750.495   27.3332   0.134227
94.2143   754.399   27.4044   0.134228
94.4643   758.314   27.4755   0.13423
94.7143   762.238   27.5467   0.134231
94.9643   766.173   27.6179   0.134233
95.2143   770.118   27.689   0.134234
95.4643   774.073   27.7602   0.134235
95.7143   778.038   27.8314   0.134237
95.9643   782.013   27.9025   0.134238
96.2143   785.998   27.9737   0.134239
96.4643   789.993   28.0448   0.134241
96.7143   793.999   28.116   0.134242
96.9643   798.014   28.1872   0.134243
97.2143   802.04   28.2583   0.134245
97.4643   806.075   28.3295   0.134246
97.7143   810.121   28.4006   0.134247
97.9643   814.177   28.4718   0.134249
98.2143   818.243   28.543   0.13425
98.4643   822.319   28.6141   0.134251
98.7143   826.405   28.6853   0.134253
98.9643   830.501   28.7564   0.134254
99.2143   834.607   28.8276   0.134255
99.4643   838.724   28.8987   0.134256
99.5982   840.933   28.9369   0.134257
99.7321   843.146   28.975   0.134258
99.8661   845.361   29.0131   0.134258
100   847.579   29.0512   0.134259
