#S1         S2       STVMSE
0.8   0   0.383958
0.8   0.1   0.28266
0.8   0.2   0.200992
0.8   0.3   0.138538
0.8   0.4   0.0943863
0.8   0.5   0.0663519
0.8   0.6   0.048385
0.8   0.7   0.0240345
0.8   0.8   1.53449e-05
0.8   0.9   0.0122672
0.8   1   0.0254211
0.8   1.1   0.034923
0.8   1.2   0.0415263
0.8   1.3   0.0460516
0.8   1.4   0.0491119
0.8   1.5   0.0511476
0.8   1.6   0.0524752
0.8   1.7   0.0533213
0.8   1.8   0.0538468
0.8   1.9   0.0541643
0.8   2   0.0543505
0.8   2.1   0.0544564
0.8   2.2   0.0545148
0.8   2.3   0.054546
0.8   2.4   0.0545622
0.8   2.5   0.0545703
0.8   2.6   0.0545742
0.8   2.7   0.054576
0.8   2.8   0.0545769
0.8   2.9   0.0545773
0.8   3   0.0545774

0.9   0   0.451104
0.9   0.1   0.341899
0.9   0.2   0.252364
0.9   0.3   0.182154
0.9   0.4   0.130575
0.9   0.5   0.0961349
0.9   0.6   0.0752282
0.9   0.7   0.0580415
0.9   0.8   0.0242921
0.9   0.9   2.03208e-06
0.9   1   0.00983429
0.9   1.1   0.0220135
0.9   1.2   0.031562
0.9   1.3   0.038588
0.9   1.4   0.0436413
0.9   1.5   0.047219
0.9   1.6   0.0497127
0.9   1.7   0.0514211
0.9   1.8   0.0525694
0.9   1.9   0.0533252
0.9   2   0.0538115
0.9   2.1   0.0541169
0.9   2.2   0.054304
0.9   2.3   0.0544157
0.9   2.4   0.0544806
0.9   2.5   0.0545174
0.9   2.6   0.0545377
0.9   2.7   0.0545485
0.9   2.8   0.0545542
0.9   2.9   0.0545571
0.9   3   0.0545586

1   0   0.516059
1   0.1   0.40001
1   0.2   0.303661
1   0.3   0.226714
1   0.4   0.168608
1   0.5   0.128226
1   0.6   0.103133
1   0.7   0.0873492
1   0.8   0.065475
1   0.9   0.0207642
1   1   1.86715e-07
1   1.1   0.00771897
1   1.2   0.0184798
1   1.3   0.0275535
1   1.4   0.0345787
1   1.5   0.0398443
1   1.6   0.043715
1   1.7   0.046514
1   1.8   0.048504
1   1.9   0.0498962
1   2   0.0508519
1   2.1   0.0514954
1   2.2   0.0519198
1   2.3   0.0521938
1   2.4   0.0523669
1   2.5   0.0524738
1   2.6   0.0525383
1   2.7   0.0525763
1   2.8   0.0525983
1   2.9   0.0526106
1   3   0.0526174

1.1   0   0.577705
1.1   0.1   0.45578
1.1   0.2   0.353577
1.1   0.3   0.270832
1.1   0.4   0.207072
1.1   0.5   0.161404
1.1   0.6   0.132026
1.1   0.7   0.114899
1.1   0.8   0.100038
1.1   0.9   0.0657785
1.1   1   0.0153656
1.1   1.1   0
1.1   1.2   0.00597742
1.1   1.3   0.0151545
1.1   1.4   0.0234061
1.1   1.5   0.0300874
1.1   1.6   0.0352791
1.1   1.7   0.0392183
1.1   1.8   0.0421532
1.1   1.9   0.0443037
1.1   2   0.0458539
1.1   2.1   0.0469526
1.1   2.2   0.0477177
1.1   2.3   0.0482408
1.1   2.4   0.0485918
1.1   2.5   0.0488228
1.1   2.6   0.0489718
1.1   2.7   0.049066
1.1   2.8   0.0491244
1.1   2.9   0.0491598
1.1   3   0.0491809

1.2   0   0.635215
1.2   0.1   0.508284
1.2   0.2   0.401093
1.2   0.3   0.313403
1.2   0.4   0.244798
1.2   0.5   0.194535
1.2   0.6   0.161187
1.2   0.7   0.141781
1.2   0.8   0.129456
1.2   0.9   0.107888
1.2   1   0.0559269
1.2   1.1   0.0105781
1.2   1.2   3.50881e-08
1.2   1.3   0.00459058
1.2   1.4   0.0122133
1.2   1.5   0.0194574
1.2   1.6   0.02556
1.2   1.7   0.0304535
1.2   1.8   0.0342681
1.2   1.9   0.0371816
1.2   2   0.0393683
1.2   2.1   0.0409829
1.2   2.2   0.0421557
1.2   2.3   0.0429936
1.2   2.4   0.0435822
1.2   2.5   0.0439886
1.2   2.6   0.0442643
1.2   2.7   0.044448
1.2   2.8   0.0445682
1.2   2.9   0.0446454
1.2   3   0.0446941

1.3   0   0.688026
1.3   0.1   0.556867
1.3   0.2   0.44546
1.3   0.3   0.353588
1.3   0.4   0.280876
1.3   0.5   0.226681
1.3   0.6   0.189818
1.3   0.7   0.167949
1.3   0.8   0.156006
1.3   0.9   0.142162
1.3   1   0.103112
1.3   1.1   0.0404487
1.3   1.2   0.00722133
1.3   1.3   0
1.3   1.4   0.00350771
1.3   1.5   0.00971453
1.3   1.6   0.0158982
1.3   1.7   0.0212904
1.3   1.8   0.0257336
1.3   1.9   0.0292784
1.3   2   0.0320427
1.3   2.1   0.0341586
1.3   2.2   0.0357511
1.3   2.3   0.0369303
1.3   2.4   0.0377896
1.3   2.5   0.0384059
1.3   2.6   0.0388403
1.3   2.7   0.039142
1.3   2.8   0.0393479
1.3   2.9   0.0394861
1.3   3   0.0395773

1.4   0   0.735816
1.4   0.1   0.601113
1.4   0.2   0.486174
1.4   0.3   0.390795
1.4   0.4   0.314634
1.4   0.5   0.257116
1.4   0.6   0.217222
1.4   0.7   0.19302
1.4   0.8   0.180527
1.4   0.9   0.170821
1.4   1   0.144398
1.4   1.1   0.0824666
1.4   1.2   0.0271678
1.4   1.3   0.00501318
1.4   1.4   1.14104e-07
1.4   1.5   0.00267197
1.4   1.6   0.0076504
1.4   1.7   0.0128104
1.4   1.8   0.0174461
1.4   1.9   0.0213566
1.4   2   0.0245386
1.4   2.1   0.0270631
1.4   2.2   0.0290268
1.4   2.3   0.0305275
1.4   2.4   0.0316557
1.4   2.5   0.0324905
1.4   2.6   0.0330986
1.4   2.7   0.0335347
1.4   2.8   0.0338425
1.4   2.9   0.0340563
1.4   3   0.0342026

1.5   0   0.778465
1.5   0.1   0.640818
1.5   0.2   0.522944
1.5   0.3   0.42465
1.5   0.4   0.345617
1.5   0.5   0.285323
1.5   0.6   0.242864
1.5   0.7   0.216581
1.5   0.8   0.203189
1.5   0.9   0.195614
1.5   1   0.178155
1.5   1.1   0.126286
1.5   1.2   0.0567043
1.5   1.3   0.018326
1.5   1.4   0.00354546
1.5   1.5   2.49494e-08
1.5   1.6   0.00203146
1.5   1.7   0.00597695
1.5   1.8   0.0102048
1.5   1.9   0.0140995
1.5   2   0.0174513
1.5   2.1   0.0202242
1.5   2.2   0.0224563
1.5   2.3   0.0242151
1.5   2.4   0.0255757
1.5   2.5   0.0266106
1.5   2.6   0.0273853
1.5   2.7   0.0279563
1.5   2.8   0.0283708
