# S1 S2 MSE
0.00 0.00 0.00000
0.00 0.10 0.00000
0.00 0.20 0.00000
0.00 0.30 0.00000
0.00 0.40 0.00000
0.00 0.50 0.00000
0.00 0.60 0.00000
0.00 0.70 0.00000
0.00 0.80 0.00000
0.00 0.90 0.00000
0.00 1.00 0.00000
0.00 1.10 0.00000
0.00 1.20 0.00000
0.00 1.30 0.00000
0.00 1.40 0.00000
0.00 1.50 0.00000
0.00 1.60 0.00000
0.00 1.70 0.00000
0.00 1.80 0.00000
0.00 1.90 0.00000
0.00 2.00 0.00000
0.00 2.10 0.00000
0.00 2.20 0.00000
0.00 2.30 0.00000
0.00 2.40 0.00000
0.00 2.50 0.00000
0.00 2.60 0.00000
0.00 2.70 0.00000
0.00 2.80 0.00000
0.00 2.90 0.00000
0.00 3.00 0.00000

0.10 0.00 0.00956
0.10 0.10 0.00011
0.10 0.20 0.00310
0.10 0.30 0.00310
0.10 0.40 0.00360
0.10 0.50 0.00366
0.10 0.60 0.00356
0.10 0.70 0.00311
0.10 0.80 0.00272
0.10 0.90 0.00312
0.10 1.00 0.00317
0.10 1.10 0.00309
0.10 1.20 0.00386
0.10 1.30 0.00288
0.10 1.40 0.00332
0.10 1.50 0.00312
0.10 1.60 0.00317
0.10 1.70 0.00346
0.10 1.80 0.00335
0.10 1.90 0.00316
0.10 2.00 0.00385
0.10 2.10 0.00329
0.10 2.20 0.00390
0.10 2.30 0.00326
0.10 2.40 0.00368
0.10 2.50 0.00298
0.10 2.60 0.00421
0.10 2.70 0.00255
0.10 2.80 0.00331
0.10 2.90 0.00359
0.10 3.00 0.00301

0.20 0.00 0.03415
0.20 0.10 0.00941
0.20 0.20 0.00002
0.20 0.30 0.00942
0.20 0.40 0.00983
0.20 0.50 0.01007
0.20 0.60 0.01041
0.20 0.70 0.00909
0.20 0.80 0.00983
0.20 0.90 0.00922
0.20 1.00 0.01107
0.20 1.10 0.01047
0.20 1.20 0.01281
0.20 1.30 0.00863
0.20 1.40 0.01141
0.20 1.50 0.00908
0.20 1.60 0.00921
0.20 1.70 0.00883
0.20 1.80 0.01057
0.20 1.90 0.01135
0.20 2.00 0.00981
0.20 2.10 0.01307
0.20 2.20 0.01023
0.20 2.30 0.01318
0.20 2.40 0.01035
0.20 2.50 0.01078
0.20 2.60 0.01203
0.20 2.70 0.01068
0.20 2.80 0.01174
0.20 2.90 0.01234
0.20 3.00 0.01266

0.30 0.00 0.07318
0.30 0.10 0.03462
0.30 0.20 0.01048
0.30 0.30 0.00000
0.30 0.40 0.01554
0.30 0.50 0.02149
0.30 0.60 0.02081
0.30 0.70 0.01932
0.30 0.80 0.02293
0.30 0.90 0.02080
0.30 1.00 0.02094
0.30 1.10 0.02203
0.30 1.20 0.02025
0.30 1.30 0.02076
0.30 1.40 0.01621
0.30 1.50 0.02293
0.30 1.60 0.02191
0.30 1.70 0.01841
0.30 1.80 0.02161
0.30 1.90 0.02447
0.30 2.00 0.02323
0.30 2.10 0.02630
0.30 2.20 0.01803
0.30 2.30 0.01830
0.30 2.40 0.02218
0.30 2.50 0.02040
0.30 2.60 0.02185
0.30 2.70 0.02349
0.30 2.80 0.01916
0.30 2.90 0.02353
0.30 3.00 0.02232

0.40 0.00 0.12474
0.40 0.10 0.07049
0.40 0.20 0.03195
0.40 0.30 0.01292
0.40 0.40 0.00000
0.40 0.50 0.02013
0.40 0.60 0.02891
0.40 0.70 0.02660
0.40 0.80 0.03241
0.40 0.90 0.03270
0.40 1.00 0.03071
0.40 1.10 0.03114
0.40 1.20 0.02779
0.40 1.30 0.02757
0.40 1.40 0.03336
0.40 1.50 0.03924
0.40 1.60 0.03454
0.40 1.70 0.02781
0.40 1.80 0.02792
0.40 1.90 0.03407
0.40 2.00 0.02706
0.40 2.10 0.02811
0.40 2.20 0.03181
0.40 2.30 0.02818
0.40 2.40 0.03456
0.40 2.50 0.03359
0.40 2.60 0.03989
0.40 2.70 0.02198
0.40 2.80 0.03091
0.40 2.90 0.03257
0.40 3.00 0.03130

0.50 0.00 0.18775
0.50 0.10 0.11645
0.50 0.20 0.06273
0.50 0.30 0.03331
0.50 0.40 0.02154
0.50 0.50 0.00000
0.50 0.60 0.01769
0.50 0.70 0.02840
0.50 0.80 0.03637
0.50 0.90 0.03608
0.50 1.00 0.04074
0.50 1.10 0.03357
0.50 1.20 0.03781
0.50 1.30 0.03595
0.50 1.40 0.04441
0.50 1.50 0.04098
0.50 1.60 0.04503
0.50 1.70 0.03896
0.50 1.80 0.05703
0.50 1.90 0.04726
0.50 2.00 0.04247
0.50 2.10 0.03714
0.50 2.20 0.03918
0.50 2.30 0.03027
0.50 2.40 0.03696
0.50 2.50 0.04994
0.50 2.60 0.05230
0.50 2.70 0.04756
0.50 2.80 0.05005
0.50 2.90 0.04519
0.50 3.00 0.03908

0.60 0.00 0.27733
0.60 0.10 0.16439
0.60 0.20 0.09816
0.60 0.30 0.05464
0.60 0.40 0.03660
0.60 0.50 0.04418
0.60 0.60 0.00000
0.60 0.70 0.01523
0.60 0.80 0.02851
0.60 0.90 0.03976
0.60 1.00 0.04127
0.60 1.10 0.04319
0.60 1.20 0.04325
0.60 1.30 0.04214
0.60 1.40 0.04802
0.60 1.50 0.04806
0.60 1.60 0.05062
0.60 1.70 0.04659
0.60 1.80 0.05613
0.60 1.90 0.04798
0.60 2.00 0.04455
0.60 2.10 0.04088
0.60 2.20 0.04412
0.60 2.30 0.04390
0.60 2.40 0.04970
0.60 2.50 0.05028
0.60 2.60 0.05378
0.60 2.70 0.04860
0.60 2.80 0.04373
0.60 2.90 0.04930
0.60 3.00 0.04142

0.70 0.00 0.31760
0.70 0.10 0.20645
0.70 0.20 0.16657
0.70 0.30 0.10502
0.70 0.40 0.06373
0.70 0.50 0.04928
0.70 0.60 0.04797
0.70 0.70 0.00000
0.70 0.80 0.01389
0.70 0.90 0.03038
0.70 1.00 0.03962
0.70 1.10 0.03423
0.70 1.20 0.04210
0.70 1.30 0.03576
0.70 1.40 0.06134
0.70 1.50 0.04883
0.70 1.60 0.06078
0.70 1.70 0.06127
0.70 1.80 0.06258
0.70 1.90 0.04480
0.70 2.00 0.04224
0.70 2.10 0.05960
0.70 2.20 0.06421
0.70 2.30 0.04925
0.70 2.40 0.04012
0.70 2.50 0.05052
0.70 2.60 0.03954
0.70 2.70 0.06086
0.70 2.80 0.04693
0.70 2.90 0.04849
0.70 3.00 0.04578

0.80 0.00 0.37935
0.80 0.10 0.26289
0.80 0.20 0.21759
0.80 0.30 0.14910
0.80 0.40 0.08295
0.80 0.50 0.08284
0.80 0.60 0.06880
0.80 0.70 0.08196
0.80 0.80 0.00000
0.80 0.90 0.01153
0.80 1.00 0.02585
0.80 1.10 0.03383
0.80 1.20 0.03545
0.80 1.30 0.04469
0.80 1.40 0.03532
0.80 1.50 0.05348
0.80 1.60 0.05655
0.80 1.70 0.04683
0.80 1.80 0.04374
0.80 1.90 0.06361
0.80 2.00 0.06832
0.80 2.10 0.05022
0.80 2.20 0.04012
0.80 2.30 0.06952
0.80 2.40 0.05488
0.80 2.50 0.05246
0.80 2.60 0.06578
0.80 2.70 0.08880
0.80 2.80 0.06280
0.80 2.90 0.03987
0.80 3.00 0.05476

0.90 0.00 0.35726
0.90 0.10 0.36095
0.90 0.20 0.25705
0.90 0.30 0.17219
0.90 0.40 0.14124
0.90 0.50 0.10687
0.90 0.60 0.08970
0.90 0.70 0.11296
0.90 0.80 0.04857
0.90 0.90 0.00000
0.90 1.00 0.01285
0.90 1.10 0.02164
0.90 1.20 0.02296
0.90 1.30 0.04028
0.90 1.40 0.04682
0.90 1.50 0.04495
0.90 1.60 0.05444
0.90 1.70 0.04756
0.90 1.80 0.05964
0.90 1.90 0.06812
0.90 2.00 0.06159
0.90 2.10 0.06487
0.90 2.20 0.05642
0.90 2.30 0.07792
0.90 2.40 0.05090
0.90 2.50 0.03931
0.90 2.60 0.05484
0.90 2.70 0.05368
0.90 2.80 0.04538
0.90 2.90 0.07647
0.90 3.00 0.05038

1.00 0.00 0.46188
1.00 0.10 0.33379
1.00 0.20 0.27974
1.00 0.30 0.23122
1.00 0.40 0.18130
1.00 0.50 0.13017
1.00 0.60 0.11166
1.00 0.70 0.13658
1.00 0.80 0.13068
1.00 0.90 0.03433
1.00 1.00 0.00000
1.00 1.10 0.00742
1.00 1.20 0.02198
1.00 1.30 0.02512
1.00 1.40 0.03536
1.00 1.50 0.04058
1.00 1.60 0.04391
1.00 1.70 0.04500
1.00 1.80 0.05230
1.00 1.90 0.04346
1.00 2.00 0.04745
1.00 2.10 0.06371
1.00 2.20 0.04076
1.00 2.30 0.04782
1.00 2.40 0.04422
1.00 2.50 0.04249
1.00 2.60 0.05655
1.00 2.70 0.03777
1.00 2.80 0.04755
1.00 2.90 0.04741
1.00 3.00 0.05370

1.10 0.00 0.67935
1.10 0.10 0.46708
1.10 0.20 0.34102
1.10 0.30 0.28153
1.10 0.40 0.21077
1.10 0.50 0.17470
1.10 0.60 0.12807
1.10 0.70 0.16480
1.10 0.80 0.17074
1.10 0.90 0.12902
1.10 1.00 0.01744
1.10 1.10 0.00000
1.10 1.20 0.00635
1.10 1.30 0.01247
1.10 1.40 0.02617
1.10 1.50 0.03382
1.10 1.60 0.03666
1.10 1.70 0.03836
1.10 1.80 0.04896
1.10 1.90 0.03855
1.10 2.00 0.05468
1.10 2.10 0.05452
1.10 2.20 0.04447
1.10 2.30 0.03326
1.10 2.40 0.04011
1.10 2.50 0.06417
1.10 2.60 0.07302
1.10 2.70 0.04272
1.10 2.80 0.04036
1.10 2.90 0.03394
1.10 3.00 0.04309

1.20 0.00 0.65288
1.20 0.10 0.57869
1.20 0.20 0.42943
1.20 0.30 0.27475
1.20 0.40 0.26276
1.20 0.50 0.20433
1.20 0.60 0.19269
1.20 0.70 0.15363
1.20 0.80 0.18633
1.20 0.90 0.22850
1.20 1.00 0.07546
1.20 1.10 0.01121
1.20 1.20 0.00000
1.20 1.30 0.00481
1.20 1.40 0.01206
1.20 1.50 0.01924
1.20 1.60 0.02500
1.20 1.70 0.02990
1.20 1.80 0.03925
1.20 1.90 0.03996
1.20 2.00 0.04166
1.20 2.10 0.04722
1.20 2.20 0.05390
1.20 2.30 0.04417
1.20 2.40 0.05438
1.20 2.50 0.02985
1.20 2.60 0.06496
1.20 2.70 0.04102
1.20 2.80 0.03830
1.20 2.90 0.03933
1.20 3.00 0.04747

1.30 0.00 0.62472
1.30 0.10 0.56148
1.30 0.20 0.42771
1.30 0.30 0.40064
1.30 0.40 0.32365
1.30 0.50 0.24580
1.30 0.60 0.23093
1.30 0.70 0.20748
1.30 0.80 0.20470
1.30 0.90 0.21220
1.30 1.00 0.20851
1.30 1.10 0.04810
1.30 1.20 0.00685
1.30 1.30 0.00000
1.30 1.40 0.00369
1.30 1.50 0.00895
1.30 1.60 0.01435
1.30 1.70 0.02000
1.30 1.80 0.01989
1.30 1.90 0.02669
1.30 2.00 0.03284
1.30 2.10 0.04726
1.30 2.20 0.02781
1.30 2.30 0.03583
1.30 2.40 0.06618
1.30 2.50 0.03967
1.30 2.60 0.02365
1.30 2.70 0.02827
1.30 2.80 0.02896
1.30 2.90 0.02976
1.30 3.00 0.02841

1.40 0.00 0.75970
1.40 0.10 0.61240
1.40 0.20 0.47060
1.40 0.30 0.40285
1.40 0.40 0.36025
1.40 0.50 0.33400
1.40 0.60 0.21115
