# S1 S2 MSE_normalized
# Original MSE range: min=0.00000e+00, max=1.20474e+00
0.70 2.50 0.05088
0.70 2.60 0.03779
0.70 2.70 0.03811
0.70 2.80 0.03570
0.70 2.90 0.03737
0.70 3.00 0.04493

0.80 0.00 0.36784
0.80 0.10 0.21391
0.80 0.20 0.14869
0.80 0.30 0.11235
0.80 0.40 0.08068
0.80 0.50 0.05895
0.80 0.60 0.05626
0.80 0.70 0.06951
0.80 0.80 0.00000
0.80 0.90 0.01004
0.80 1.00 0.01973
0.80 1.10 0.02668
0.80 1.20 0.03170
0.80 1.30 0.03725
0.80 1.40 0.03532
0.80 1.50 0.04399
0.80 1.60 0.05219
0.80 1.70 0.04591
0.80 1.80 0.04395
0.80 1.90 0.03697
0.80 2.00 0.03889
0.80 2.10 0.03697
0.80 2.20 0.05394
0.80 2.30 0.05085
0.80 2.40 0.07055
0.80 2.50 0.04488
0.80 2.60 0.05049
0.80 2.70 0.04033
0.80 2.80 0.05290
0.80 2.90 0.04791
0.80 3.00 0.05748

0.90 0.00 0.36722
0.90 0.10 0.31284
0.90 0.20 0.20752
0.90 0.30 0.10079
0.90 0.40 0.10791
0.90 0.50 0.09008
0.90 0.60 0.07605
0.90 0.70 0.08509
0.90 0.80 0.04896
0.90 0.90 0.00000
0.90 1.00 0.00870
0.90 1.10 0.01768
0.90 1.20 0.02558
0.90 1.30 0.03766
0.90 1.40 0.03953
0.90 1.50 0.04465
0.90 1.60 0.04431
0.90 1.70 0.03550
0.90 1.80 0.04436
0.90 1.90 0.04277
0.90 2.00 0.04871
0.90 2.10 0.03782
0.90 2.20 0.04327
0.90 2.30 0.06509
0.90 2.40 0.04005
0.90 2.50 0.05990
0.90 2.60 0.06026
0.90 2.70 0.05849
0.90 2.80 0.02845
0.90 2.90 0.03371
0.90 3.00 0.03754

1.00 0.00 0.43482
1.00 0.10 0.31182
1.00 0.20 0.23380
1.00 0.30 0.20908
1.00 0.40 0.15898
1.00 0.50 0.10324
1.00 0.60 0.09187
1.00 0.70 0.11501
1.00 0.80 0.09548
1.00 0.90 0.03100
1.00 1.00 0.00000
1.00 1.10 0.00638
1.00 1.20 0.01580
1.00 1.30 0.02592
1.00 1.40 0.02247
1.00 1.50 0.03388
1.00 1.60 0.03643
1.00 1.70 0.03206
1.00 1.80 0.03595
1.00 1.90 0.04410
1.00 2.00 0.05196
1.00 2.10 0.03741
1.00 2.20 0.04946
1.00 2.30 0.02648
1.00 2.40 0.04223
1.00 2.50 0.03610
1.00 2.60 0.03038
1.00 2.70 0.03809
1.00 2.80 0.04509
1.00 2.90 0.03582
1.00 3.00 0.04580

1.10 0.00 0.51536
1.10 0.10 0.40727
1.10 0.20 0.32853
1.10 0.30 0.26018
1.10 0.40 0.17772
1.10 0.50 0.15098
1.10 0.60 0.12877
1.10 0.70 0.13185
1.10 0.80 0.13379
1.10 0.90 0.13625
1.10 1.00 0.01673
1.10 1.10 0.00000
1.10 1.20 0.00495
1.10 1.30 0.01179
1.10 1.40 0.02164
1.10 1.50 0.02568
1.10 1.60 0.03238
1.10 1.70 0.02625
1.10 1.80 0.03481
1.10 1.90 0.03112
1.10 2.00 0.04256
1.10 2.10 0.05943
1.10 2.20 0.03370
1.10 2.30 0.03435
1.10 2.40 0.05230
1.10 2.50 0.06104
1.10 2.60 0.03715
1.10 2.70 0.04891
1.10 2.80 0.04777
1.10 2.90 0.02790
1.10 3.00 0.03643

1.20 0.00 0.49783
1.20 0.10 0.35281
1.20 0.20 0.31000
1.20 0.30 0.27722
1.20 0.40 0.17879
1.20 0.50 0.17550
1.20 0.60 0.14571
1.20 0.70 0.14210
1.20 0.80 0.11174
1.20 0.90 0.18129
1.20 1.00 0.07133
1.20 1.10 0.00908
1.20 1.20 0.00000
1.20 1.30 0.00403
1.20 1.40 0.01008
1.20 1.50 0.01733
1.20 1.60 0.02373
1.20 1.70 0.02757
1.20 1.80 0.02583
1.20 1.90 0.03019
1.20 2.00 0.02983
1.20 2.10 0.02706
1.20 2.20 0.04778
1.20 2.30 0.03326
1.20 2.40 0.03637
1.20 2.50 0.02977
1.20 2.60 0.04154
1.20 2.70 0.03888
1.20 2.80 0.06260
1.20 2.90 0.06866
1.20 3.00 0.03289

1.30 0.00 0.60614
1.30 0.10 0.39183
1.30 0.20 0.35230
1.30 0.30 0.28048
1.30 0.40 0.24634
1.30 0.50 0.20209
1.30 0.60 0.15451
1.30 0.70 0.15053
1.30 0.80 0.16081
1.30 0.90 0.14964
1.30 1.00 0.20763
1.30 1.10 0.03435
1.30 1.20 0.00549
1.30 1.30 0.00000
1.30 1.40 0.00304
1.30 1.50 0.00679
1.30 1.60 0.01180
1.30 1.70 0.01409
1.30 1.80 0.02639
1.30 1.90 0.02580
1.30 2.00 0.02330
1.30 2.10 0.03143
1.30 2.20 0.03970
1.30 2.30 0.02217
1.30 2.40 0.03145
1.30 2.50 0.03212
1.30 2.60 0.02708
1.30 2.70 0.01848
1.30 2.80 0.03118
1.30 2.90 0.02797
1.30 3.00 0.04691

1.40 0.00 0.58373
1.40 0.10 0.49385
1.40 0.20 0.39912
1.40 0.30 0.31747
1.40 0.40 0.24579
1.40 0.50 0.21513
1.40 0.60 0.17922
1.40 0.70 0.20125
1.40 0.80 0.18238
1.40 0.90 0.20276
1.40 1.00 0.19026
1.40 1.10 0.11383
1.40 1.20 0.02301
1.40 1.30 0.00425
1.40 1.40 0.00000
1.40 1.50 0.00183
1.40 1.60 0.00569
1.40 1.70 0.01226
1.40 1.80 0.01520
1.40 1.90 0.01621
1.40 2.00 0.01777
1.40 2.10 0.02512
1.40 2.20 0.03182
1.40 2.30 0.01752
1.40 2.40 0.01481
1.40 2.50 0.00959
1.40 2.60 0.01560
1.40 2.70 0.04188
1.40 2.80 0.01665
1.40 2.90 0.05188
1.40 3.00 0.03403

1.50 0.00 0.76596
1.50 0.10 0.50229
1.50 0.20 0.41581
1.50 0.30 0.29483
1.50 0.40 0.30122
1.50 0.50 0.24403
1.50 0.60 0.20672
1.50 0.70 0.19010
1.50 0.80 0.18760
1.50 0.90 0.22387
1.50 1.00 0.25510
1.50 1.10 0.17010
1.50 1.20 0.05136
1.50 1.30 0.01638
1.50 1.40 0.00292
1.50 1.50 0.00000
1.50 1.60 0.00181
1.50 1.70 0.00566
1.50 1.80 0.00660
1.50 1.90 0.01099
1.50 2.00 0.01521
1.50 2.10 0.01425
1.50 2.20 0.01907
1.50 2.30 0.02365
1.50 2.40 0.01191
1.50 2.50 0.01408
1.50 2.60 0.01425
1.50 2.70 0.06129
1.50 2.80 0.01269
1.50 2.90 0.02908
1.50 3.00 0.04132

1.60 0.00 0.76957
1.60 0.10 0.56877
1.60 0.20 0.37949
1.60 0.30 0.36122
1.60 0.40 0.32497
1.60 0.50 0.24593
1.60 0.60 0.24218
1.60 0.70 0.15635
1.60 0.80 0.20279
1.60 0.90 0.25007
1.60 1.00 0.26634
1.60 1.10 0.24648
1.60 1.20 0.08543
1.60 1.30 0.03754
1.60 1.40 0.00970
1.60 1.50 0.00229
1.60 1.60 0.00000
1.60 1.70 0.00147
1.60 1.80 0.00330
1.60 1.90 0.00771
1.60 2.00 0.00850
1.60 2.10 0.01381
1.60 2.20 0.02222
1.60 2.30 0.01596
1.60 2.40 0.01594
1.60 2.50 0.00810
1.60 2.60 0.02363
1.60 2.70 0.01182
1.60 2.80 0.02146
1.60 2.90 0.01490
1.60 3.00 0.01841

1.70 0.00 0.77704
1.70 0.10 0.51738
1.70 0.20 0.49610
1.70 0.30 0.33600
1.70 0.40 0.40015
1.70 0.50 0.32446
1.70 0.60 0.20689
1.70 0.70 0.19062
1.70 0.80 0.22667
1.70 0.90 0.22856
1.70 1.00 0.25392
1.70 1.10 0.26787
1.70 1.20 0.11102
1.70 1.30 0.06088
1.70 1.40 0.02172
1.70 1.50 0.00781
1.70 1.60 0.00216
1.70 1.70 0.00000
1.70 1.80 0.00105
1.70 1.90 0.00238
1.70 2.00 0.00398
1.70 2.10 0.00957
1.70 2.20 0.00976
1.70 2.30 0.01174
1.70 2.40 0.01205
1.70 2.50 0.02804
1.70 2.60 0.01424
1.70 2.70 0.00666
1.70 2.80 0.01027
1.70 2.90 0.01061
1.70 3.00 0.02359

1.80 0.00 0.74678
1.80 0.10 0.53217
1.80 0.20 0.65008
1.80 0.30 0.39452
1.80 0.40 0.48465
1.80 0.50 0.32226
1.80 0.60 0.27038
1.80 0.70 0.26289
1.80 0.80 0.22653
1.80 0.90 0.25596
1.80 1.00 0.31208
1.80 1.10 0.25075
1.80 1.20 0.20685
1.80 1.30 0.09391
1.80 1.40 0.03519
1.80 1.50 0.01405
1.80 1.60 0.00535
1.80 1.70 0.00085
1.80 1.80 0.00000
1.80 1.90 0.00069
1.80 2.00 0.00273
1.80 2.10 0.00305
1.80 2.20 0.01090
1.80 2.30 0.00505
1.80 2.40 0.00690
1.80 2.50 0.01308
1.80 2.60 0.00672
1.80 2.70 0.00874
1.80 2.80 0.01772
1.80 2.90 0.01427
1.80 3.00 0.01850

1.90 0.00 0.87407
1.90 0.10 0.55945
1.90 0.20 0.56754
1.90 0.30 0.51548
1.90 0.40 0.38571
1.90 0.50 0.38781
1.90 0.60 0.22447
1.90 0.70 0.31392
1.90 0.80 0.27501
1.90 0.90 0.29527
1.90 1.00 0.27082
1.90 1.10 0.36220
1.90 1.20 0.18990
1.90 1.30 0.11059
1.90 1.40 0.06681
1.90 1.50 0.02622
1.90 1.60 0.01166
1.90 1.70 0.00367
1.90 1.80 0.00072
1.90 1.90 0.00000
1.90 2.00 0.00075
1.90 2.10 0.00208
1.90 2.20 0.00415
1.90 2.30 0.00596
1.90 2.40 0.00781
1.90 2.50 0.00455
1.90 2.60 0.00935
1.90 2.70 0.00772
1.90 2.80 0.01516
1.90 2.90 0.00953
1.90 3.00 0.00500

2.00 0.00 0.80663
2.00 0.10 0.83291
2.00 0.20 0.58049
2.00 0.30 0.35465
2.00 0.40 0.44053
2.00 0.50 0.35197
2.00 0.60 0.29976
2.00 0.70 0.24043
2.00 0.80 0.21842
2.00 0.90 0.26990
2.00 1.00 0.28465
2.00 1.10 0.31473
2.00 1.20 0.29156
2.00 1.30 0.12013
2.00 1.40 0.04765
2.00 1.50 0.02486
2.00 1.60 0.02021
2.00 1.70 0.00727
2.00 1.80 0.00188
2.00 1.90 0.00064
2.00 2.00 0.00000
2.00 2.10 0.00051
2.00 2.20 0.00072
2.00 2.30 0.00157
2.00 2.40 0.00240
2.00 2.50 0.00549
2.00 2.60 0.00765
2.00 2.70 0.00203
2.00 2.80 0.00263
2.00 2.90 0.01158
2.00 3.00 0.01179

2.10 0.00 0.82200
2.10 0.10 0.62948
2.10 0.20 0.46344
2.10 0.30 0.49422
2.10 0.40 0.40760
2.10 0.50 0.26098
2.10 0.60 0.26395
2.10 0.70 0.29726
2.10 0.80 0.26546
2.10 0.90 0.27695
2.10 1.00 0.32966
2.10 1.10 0.34187
2.10 1.20 0.30219
2.10 1.30 0.15678
2.10 1.40 0.06505
2.10 1.50 0.03541
2.10 1.60 0.02131
2.10 1.70 0.00601
2.10 1.80 0.00502
2.10 1.90 0.00148
2.10 2.00 0.00020
2.10 2.10 0.00000
2.10 2.20 0.00025
2.10 2.30 0.00056
2.10 2.40 0.00050
2.10 2.50 0.00306
2.10 2.60 0.00548
2.10 2.70 0.00749
2.10 2.80 0.00502
2.10 2.90 0.01173
2.10 3.00 0.00401

2.20 0.00 0.83955
2.20 0.10 0.64425
2.20 0.20 0.49940
2.20 0.30 0.57181
2.20 0.40 0.38224
2.20 0.50 0.39443
2.20 0.60 0.27871
2.20 0.70 0.21438
2.20 0.80 0.23813
2.20 0.90 0.28739
2.20 1.00 0.38052
2.20 1.10 0.38334
2.20 1.20 0.30803
2.20 1.30 0.18518
2.20 1.40 0.08053
2.20 1.50 0.04636
2.20 1.60 0.03911
2.20 1.70 0.01746
2.20 1.80 0.00955
2.20 1.90 0.00320
2.20 2.00 0.00213
2.20 2.10 0.00034
2.20 2.20 0.00000
2.20 2.30 0.00010
2.20 2.40 0.00043
2.20 2.50 0.00272
2.20 2.60 0.00199
2.20 2.70 0.00051
2.20 2.80 0.00337
2.20 2.90 0.00210
2.20 3.00 0.00788

2.30 0.00 0.67009
2.30 0.10 0.65795
2.30 0.20 0.35313
2.30 0.30 0.38156
2.30 0.40 0.31383
2.30 0.50 0.31928
2.30 0.60 0.32499
2.30 0.70 0.35019
2.30 0.80 0.31633
2.30 0.90 0.29683
2.30 1.00 0.33688
2.30 1.10 0.31428
2.30 1.20 0.31357
2.30 1.30 0.16753
2.30 1.40 0.09796
2.30 1.50 0.06171
2.30 1.60 0.01944
2.30 1.70 0.01413
2.30 1.80 0.01664
2.30 1.90 0.00709
2.30 2.00 0.00292
2.30 2.10 0.00127
2.30 2.20 0.00051
2.30 2.30 0.00000
2.30 2.40 0.00004
2.30 2.50 0.00104
2.30 2.60 0.00042
2.30 2.70 0.00234
2.30 2.80 0.00383
2.30 2.90 0.00159
2.30 3.00 0.00074

2.40 0.00 0.72228
2.40 0.10 0.64572
2.40 0.20 0.50055
2.40 0.30 0.51179
2.40 0.40 0.29624
2.40 0.50 0.29407
2.40 0.60 0.31259
2.40 0.70 0.30898
2.40 0.80 0.30980
2.40 0.90 0.27168
2.40 1.00 0.32977
2.40 1.10 0.30651
2.40 1.20 0.32506
2.40 1.30 0.21933
2.40 1.40 0.09696
2.40 1.50 0.06249
2.40 1.60 0.04371
2.40 1.70 0.02614
2.40 1.80 0.01049
2.40 1.90 0.00983
2.40 2.00 0.00615
2.40 2.10 0.00187
2.40 2.20 0.00111
2.40 2.30 0.00021
2.40 2.40 0.00000
2.40 2.50 0.00006
2.40 2.60 0.00056
2.40 2.70 0.00013
2.40 2.80 0.00018
2.40 2.90 0.00454
2.40 3.00 0.00025

2.50 0.00 0.87273
2.50 0.10 0.54695
2.50 0.20 0.55861
2.50 0.30 0.54586
2.50 0.40 0.33807
2.50 0.50 0.38576
2.50 0.60 0.27875
2.50 0.70 0.42809
2.50 0.80 0.24947
2.50 0.90 0.27248
2.50 1.00 0.40726
2.50 1.10 0.35133
2.50 1.20 0.37878
2.50 1.30 0.21026
2.50 1.40 0.11545
2.50 1.50 0.06405
2.50 1.60 0.04543
2.50 1.70 0.02527
2.50 1.80 0.01255
2.50 1.90 0.01205
2.50 2.00 0.00939
2.50 2.10 0.00225
2.50 2.20 0.00218
2.50 2.30 0.00080
2.50 2.40 0.00019
2.50 2.50 0.00000
2.50 2.60 0.00010
2.50 2.70 0.00005
2.50 2.80 0.00009
2.50 2.90 0.00012
2.50 3.00 0.00141

2.60 0.00 0.78347
2.60 0.10 0.55537
2.60 0.20 0.55076
2.60 0.30 0.46524
2.60 0.40 0.41473
2.60 0.50 0.29607
2.60 0.60 0.29234
2.60 0.70 0.23121
2.60 0.80 0.30486
2.60 0.90 0.33038
2.60 1.00 0.32374
2.60 1.10 0.39053
2.60 1.20 0.34056
2.60 1.30 0.21666
2.60 1.40 0.10741
2.60 1.50 0.08174
2.60 1.60 0.05464
2.60 1.70 0.01884
2.60 1.80 0.02267
2.60 1.90 0.00873
2.60 2.00 0.01068
2.60 2.10 0.00151
2.60 2.20 0.00051
2.60 2.30 0.00095
2.60 2.40 0.00007
2.60 2.50 0.00018
2.60 2.60 0.00000
2.60 2.70 0.00022
2.60 2.80 0.00007
2.60 2.90 0.00080
2.60 3.00 0.00009

2.70 0.00 1.00000
2.70 0.10 0.53065
2.70 0.20 0.57417
2.70 0.30 0.41989
2.70 0.40 0.41774
2.70 0.50 0.40049
2.70 0.60 0.29761
2.70 0.70 0.28552
2.70 0.80 0.30509
2.70 0.90 0.30485
2.70 1.00 0.27283
2.70 1.10 0.31702
2.70 1.20 0.36702
2.70 1.30 0.24905
2.70 1.40 0.12707
2.70 1.50 0.07282
2.70 1.60 0.04778
2.70 1.70 0.01646
2.70 1.80 0.02332
2.70 1.90 0.01008
2.70 2.00 0.00919
2.70 2.10 0.00270
2.70 2.20 0.00114
2.70 2.30 0.00163
2.70 2.40 0.00164
2.70 2.50 0.00046
2.70 2.60 0.00001
2.70 2.70 0.00000
2.70 2.80 0.00017
2.70 2.90 0.00003
2.70 3.00 0.00004

2.80 0.00 0.84157
2.80 0.10 0.68346
2.80 0.20 0.65866
2.80 0.30 0.46835
2.80 0.40 0.34165
2.80 0.50 0.36617
2.80 0.60 0.34303
2.80 0.70 0.34065
2.80 0.80 0.33971
2.80 0.90 0.30714
2.80 1.00 0.30492
2.80 1.10 0.31514
2.80 1.20 0.37559
2.80 1.30 0.22260
2.80 1.40 0.13679
2.80 1.50 0.05815
2.80 1.60 0.06027
2.80 1.70 0.05208
2.80 1.80 0.02702
2.80 1.90 0.00527
2.80 2.00 0.01282
2.80 2.10 0.00197
2.80 2.20 0.00817
2.80 2.30 0.00244
2.80 2.40 0.00518
2.80 2.50 0.00011
2.80 2.60 0.00036
2.80 2.70 0.00001
2.80 2.80 0.00000
2.80 2.90 0.00000
2.80 3.00 0.00032

2.90 0.00 0.66661
2.90 0.10 0.77604
2.90 0.20 0.57487
2.90 0.30 0.49814
2.90 0.40 0.36143
2.90 0.50 0.31060
2.90 0.60 0.37679
2.90 0.70 0.35885
2.90 0.80 0.28247
2.90 0.90 0.22492
2.90 1.00 0.31347
2.90 1.10 0.36387
2.90 1.20 0.28759
2.90 1.30 0.21986
2.90 1.40 0.14287
2.90 1.50 0.09447
2.90 1.60 0.05132
2.90 1.70 0.04606
2.90 1.80 0.02123
2.90 1.90 0.02968
2.90 2.00 0.00818
2.90 2.10 0.01122
2.90 2.20 0.00796
2.90 2.30 0.00084
2.90 2.40 0.00209
2.90 2.50 0.00014
2.90 2.60 0.00016
2.90 2.70 0.00003
2.90 2.80 0.00001
2.90 2.90 0.00000
2.90 3.00 0.00000

3.00 0.00 0.89837
3.00 0.10 0.77963
3.00 0.20 0.65230
3.00 0.30 0.62409
3.00 0.40 0.33086
3.00 0.50 0.32477
3.00 0.60 0.30860
3.00 0.70 0.25224
3.00 0.80 0.22842
3.00 0.90 0.34182
3.00 1.00 0.25374
3.00 1.10 0.28134
3.00 1.20 0.36694
3.00 1.30 0.34850
3.00 1.40 0.14267
3.00 1.50 0.08736
3.00 1.60 0.04077
3.00 1.70 0.03068
3.00 1.80 0.03817
3.00 1.90 0.02783
3.00 2.00 0.01321
3.00 2.10 0.00895
3.00 2.20 0.01058
3.00 2.30 0.01071
3.00 2.40 0.00533
3.00 2.50 0.00042
3.00 2.60 0.00010
3.00 2.70 0.00153
3.00 2.80 0.00001
3.00 2.90 0.00000
3.00 3.00 0.00000

