# S1 S2 MSE
0.00 0.00 0.09058
0.00 0.10 0.09383
0.00 0.20 0.08604
0.00 0.30 0.10126
0.00 0.40 0.11127
0.00 0.50 0.11431
0.00 0.60 0.10630
0.00 0.70 0.08073
0.00 0.80 0.13644
0.00 0.90 0.13067
0.00 1.00 0.12223
0.00 1.10 0.08508
0.00 1.20 0.09709
0.00 1.30 0.09495
0.00 1.40 0.12058
0.00 1.50 0.10071
0.00 1.60 0.10989
0.00 1.70 0.09236
0.00 1.80 0.09099
0.00 1.90 0.11351
0.00 2.00 0.10477
0.00 2.10 0.11147
0.00 2.20 0.11163
0.00 2.30 0.11663
0.00 2.40 0.09977
0.00 2.50 0.12179
0.00 2.60 0.10474
0.00 2.70 0.13388
0.00 2.80 0.09429
0.00 2.90 0.09560
0.00 3.00 0.10912

0.10 0.00 0.09136
0.10 0.10 0.07318
0.10 0.20 0.10647
0.10 0.30 0.09573
0.10 0.40 0.13739
0.10 0.50 0.11499
0.10 0.60 0.12990
0.10 0.70 0.09515
0.10 0.80 0.08964
0.10 0.90 0.09731
0.10 1.00 0.08495
0.10 1.10 0.11135
0.10 1.20 0.11991
0.10 1.30 0.09833
0.10 1.40 0.11358
0.10 1.50 0.12324
0.10 1.60 0.14084
0.10 1.70 0.08847
0.10 1.80 0.12174
0.10 1.90 0.10197
0.10 2.00 0.07502
0.10 2.10 0.10607
0.10 2.20 0.11462
0.10 2.30 0.09036
0.10 2.40 0.07398
0.10 2.50 0.10885
0.10 2.60 0.13994
0.10 2.70 0.10726
0.10 2.80 0.10559
0.10 2.90 0.08447
0.10 3.00 0.09568

0.20 0.00 0.10753
0.20 0.10 0.09815
0.20 0.20 0.10702
0.20 0.30 0.09801
0.20 0.40 0.13614
0.20 0.50 0.09053
0.20 0.60 0.10396
0.20 0.70 0.08770
0.20 0.80 0.09952
0.20 0.90 0.11046
0.20 1.00 0.17021
0.20 1.10 0.11499
0.20 1.20 0.13123
0.20 1.30 0.12375
0.20 1.40 0.14937
0.20 1.50 0.11072
0.20 1.60 0.11310
0.20 1.70 0.13182
0.20 1.80 0.11920
0.20 1.90 0.09754
0.20 2.00 0.10005
0.20 2.10 0.11915
0.20 2.20 0.13155
0.20 2.30 0.11230
0.20 2.40 0.12992
0.20 2.50 0.10476
0.20 2.60 0.11477
0.20 2.70 0.09920
0.20 2.80 0.12142
0.20 2.90 0.13158
0.20 3.00 0.11134

0.30 0.00 0.19051
0.30 0.10 0.14869
0.30 0.20 0.11610
0.30 0.30 0.08774
0.30 0.40 0.13905
0.30 0.50 0.12787
0.30 0.60 0.12089
0.30 0.70 0.14301
0.30 0.80 0.13492
0.30 0.90 0.18976
0.30 1.00 0.15274
0.30 1.10 0.12694
0.30 1.20 0.12554
0.30 1.30 0.13362
0.30 1.40 0.12878
0.30 1.50 0.11325
0.30 1.60 0.13051
0.30 1.70 0.12981
0.30 1.80 0.11533
0.30 1.90 0.14052
0.30 2.00 0.19231
0.30 2.10 0.13749
0.30 2.20 0.17302
0.30 2.30 0.13617
0.30 2.40 0.15776
0.30 2.50 0.14700
0.30 2.60 0.13120
0.30 2.70 0.14623
0.30 2.80 0.12619
0.30 2.90 0.13792
0.30 3.00 0.12309

0.40 0.00 0.20300
0.40 0.10 0.19718
0.40 0.20 0.11650
0.40 0.30 0.09392
0.40 0.40 0.08085
0.40 0.50 0.12966
0.40 0.60 0.11425
0.40 0.70 0.17175
0.40 0.80 0.11590
0.40 0.90 0.16982
0.40 1.00 0.14023
0.40 1.10 0.12112
0.40 1.20 0.12696
0.40 1.30 0.14171
0.40 1.40 0.12335
0.40 1.50 0.11950
0.40 1.60 0.13262
0.40 1.70 0.13814
0.40 1.80 0.12168
0.40 1.90 0.12802
0.40 2.00 0.12338
0.40 2.10 0.13077
0.40 2.20 0.13047
0.40 2.30 0.11410
0.40 2.40 0.17098
0.40 2.50 0.12994
0.40 2.60 0.12463
0.40 2.70 0.16028
0.40 2.80 0.13060
0.40 2.90 0.14660
0.40 3.00 0.14762

0.50 0.00 0.33065
0.50 0.10 0.23184
0.50 0.20 0.13573
0.50 0.30 0.14397
0.50 0.40 0.11296
0.50 0.50 0.10983
0.50 0.60 0.12398
0.50 0.70 0.13271
0.50 0.80 0.12593
0.50 0.90 0.16796
0.50 1.00 0.15052
0.50 1.10 0.15538
0.50 1.20 0.13564
0.50 1.30 0.12000
0.50 1.40 0.13250
0.50 1.50 0.15649
0.50 1.60 0.14030
0.50 1.70 0.13575
0.50 1.80 0.13057
0.50 1.90 0.14082
0.50 2.00 0.11892
0.50 2.10 0.16848
0.50 2.20 0.13845
0.50 2.30 0.14300
0.50 2.40 0.15821
0.50 2.50 0.14053
0.50 2.60 0.17801
0.50 2.70 0.17832
0.50 2.80 0.13736
0.50 2.90 0.13539
0.50 3.00 0.14029

0.60 0.00 0.38912
0.60 0.10 0.28355
0.60 0.20 0.24329
0.60 0.30 0.19693
0.60 0.40 0.13553
0.60 0.50 0.15916
0.60 0.60 0.12098
0.60 0.70 0.11871
0.60 0.80 0.11923
0.60 0.90 0.17334
0.60 1.00 0.15459
0.60 1.10 0.12748
0.60 1.20 0.15633
0.60 1.30 0.13420
0.60 1.40 0.19453
0.60 1.50 0.14322
0.60 1.60 0.11895
0.60 1.70 0.17353
0.60 1.80 0.13598
0.60 1.90 0.19125
0.60 2.00 0.15068
0.60 2.10 0.21158
0.60 2.20 0.15849
0.60 2.30 0.14166
0.60 2.40 0.16180
0.60 2.50 0.17730
0.60 2.60 0.12101
0.60 2.70 0.17131
0.60 2.80 0.15873
0.60 2.90 0.16108
0.60 3.00 0.15171

0.70 0.00 0.36846
0.70 0.10 0.26568
0.70 0.20 0.28366
0.70 0.30 0.18829
0.70 0.40 0.14620
0.70 0.50 0.13202
0.70 0.60 0.16479
0.70 0.70 0.09443
0.70 0.80 0.11499
0.70 0.90 0.10320
0.70 1.00 0.13628
0.70 1.10 0.13924
0.70 1.20 0.16441
0.70 1.30 0.15410
0.70 1.40 0.14937
0.70 1.50 0.13701
0.70 1.60 0.18475
0.70 1.70 0.15675
0.70 1.80 0.19038
0.70 1.90 0.16372
0.70 2.00 0.19474
0.70 2.10 0.18157
0.70 2.20 0.15800
0.70 2.30 0.17693
0.70 2.40 0.18235
0.70 2.50 0.14116
0.70 2.60 0.15641
0.70 2.70 0.15926
0.70 2.80 0.19601
0.70 2.90 0.14716
0.70 3.00 0.13406

0.80 0.00 0.48710
0.80 0.10 0.36036
0.80 0.20 0.31952
0.80 0.30 0.28049
0.80 0.40 0.16455
0.80 0.50 0.16353
0.80 0.60 0.17621
0.80 0.70 0.17960
0.80 0.80 0.11582
0.80 0.90 0.10945
0.80 1.00 0.11621
0.80 1.10 0.14552
0.80 1.20 0.16837
0.80 1.30 0.12157
0.80 1.40 0.16387
0.80 1.50 0.17988
0.80 1.60 0.12551
0.80 1.70 0.14511
0.80 1.80 0.19034
0.80 1.90 0.15006
0.80 2.00 0.18592
0.80 2.10 0.16842
0.80 2.20 0.16078
0.80 2.30 0.15299
0.80 2.40 0.16473
0.80 2.50 0.15958
0.80 2.60 0.15344
0.80 2.70 0.14830
0.80 2.80 0.17353
0.80 2.90 0.13875
0.80 3.00 0.13596

0.90 0.00 0.60377
0.90 0.10 0.45538
0.90 0.20 0.41252
0.90 0.30 0.22146
0.90 0.40 0.19299
0.90 0.50 0.21366
0.90 0.60 0.22719
0.90 0.70 0.17547
0.90 0.80 0.19355
0.90 0.90 0.11392
0.90 1.00 0.13780
0.90 1.10 0.09707
0.90 1.20 0.12138
0.90 1.30 0.12523
0.90 1.40 0.13554
0.90 1.50 0.17884
0.90 1.60 0.17713
0.90 1.70 0.20160
0.90 1.80 0.17720
0.90 1.90 0.13425
0.90 2.00 0.18375
0.90 2.10 0.17648
0.90 2.20 0.20852
0.90 2.30 0.14875
0.90 2.40 0.14359
0.90 2.50 0.13243
0.90 2.60 0.19912
0.90 2.70 0.19272
0.90 2.80 0.14278
0.90 2.90 0.15784
0.90 3.00 0.15084

1.00 0.00 0.64560
1.00 0.10 0.54217
1.00 0.20 0.38445
1.00 0.30 0.36283
1.00 0.40 0.25720
1.00 0.50 0.24205
1.00 0.60 0.19799
1.00 0.70 0.16311
1.00 0.80 0.26691
