# S1 S2 MSE_normalized
# Original MSE range: min=7.31772e-02, max=1.29563e+00
0.70 2.50 0.05561
0.70 2.60 0.06808
0.70 2.70 0.07042
0.70 2.80 0.10048
0.70 2.90 0.06052
0.70 3.00 0.04980

0.80 0.00 0.33860
0.80 0.10 0.23492
0.80 0.20 0.20151
0.80 0.30 0.16959
0.80 0.40 0.07474
0.80 0.50 0.07391
0.80 0.60 0.08428
0.80 0.70 0.08705
0.80 0.80 0.03488
0.80 0.90 0.02967
0.80 1.00 0.03520
0.80 1.10 0.05918
0.80 1.20 0.07787
0.80 1.30 0.03959
0.80 1.40 0.07419
0.80 1.50 0.08728
0.80 1.60 0.04281
0.80 1.70 0.05884
0.80 1.80 0.09584
0.80 1.90 0.06289
0.80 2.00 0.09222
0.80 2.10 0.07791
0.80 2.20 0.07166
0.80 2.30 0.06529
0.80 2.40 0.07489
0.80 2.50 0.07068
0.80 2.60 0.06566
0.80 2.70 0.06145
0.80 2.80 0.08209
0.80 2.90 0.05364
0.80 3.00 0.05135

0.90 0.00 0.43404
0.90 0.10 0.31265
0.90 0.20 0.27759
0.90 0.30 0.12130
0.90 0.40 0.09801
0.90 0.50 0.11492
0.90 0.60 0.12598
0.90 0.70 0.08368
0.90 0.80 0.09847
0.90 0.90 0.03333
0.90 1.00 0.05287
0.90 1.10 0.01955
0.90 1.20 0.03943
0.90 1.30 0.04258
0.90 1.40 0.05101
0.90 1.50 0.08644
0.90 1.60 0.08504
0.90 1.70 0.10506
0.90 1.80 0.08510
0.90 1.90 0.04996
0.90 2.00 0.09045
0.90 2.10 0.08451
0.90 2.20 0.11072
0.90 2.30 0.06182
0.90 2.40 0.05760
0.90 2.50 0.04847
0.90 2.60 0.10302
0.90 2.70 0.09779
0.90 2.80 0.05694
0.90 2.90 0.06926
0.90 3.00 0.06353

1.00 0.00 0.46826
1.00 0.10 0.38365
1.00 0.20 0.25463
1.00 0.30 0.23694
1.00 0.40 0.15053
1.00 0.50 0.13814
1.00 0.60 0.10210
1.00 0.70 0.07357
1.00 0.80 0.15848
1.00 0.90 0.04940
1.00 1.00 0.01368
1.00 1.10 0.02078
1.00 1.20 0.03555
1.00 1.30 0.06083
1.00 1.40 0.06670
1.00 1.50 0.03909
1.00 1.60 0.04385
1.00 1.70 0.03860
1.00 1.80 0.07563
1.00 1.90 0.04892
1.00 2.00 0.02903
1.00 2.10 0.07142
1.00 2.20 0.06756
1.00 2.30 0.07175
1.00 2.40 0.12489
1.00 2.50 0.07208
1.00 2.60 0.06894
1.00 2.70 0.06742
1.00 2.80 0.06392
1.00 2.90 0.10260
1.00 3.00 0.05618

1.10 0.00 0.55562
1.10 0.10 0.35354
1.10 0.20 0.27961
1.10 0.30 0.22270
1.10 0.40 0.18107
1.10 0.50 0.19957
1.10 0.60 0.11295
1.10 0.70 0.14028
1.10 0.80 0.14844
1.10 0.90 0.15449
1.10 1.00 0.02297
1.10 1.10 0.03229
1.10 1.20 0.01140
1.10 1.30 0.02360
1.10 1.40 0.04659
1.10 1.50 0.04139
1.10 1.60 0.06761
1.10 1.70 0.05431
1.10 1.80 0.07510
1.10 1.90 0.06855
1.10 2.00 0.08918
1.10 2.10 0.09291
1.10 2.20 0.05982
1.10 2.30 0.04842
1.10 2.40 0.07884
1.10 2.50 0.07189
1.10 2.60 0.06546
1.10 2.70 0.07399
1.10 2.80 0.05966
1.10 2.90 0.05767
1.10 3.00 0.05387

1.20 0.00 0.45742
1.20 0.10 0.43924
1.20 0.20 0.43013
1.20 0.30 0.27215
1.20 0.40 0.24063
1.20 0.50 0.19257
1.20 0.60 0.20829
1.20 0.70 0.13967
1.20 0.80 0.13829
1.20 0.90 0.14860
1.20 1.00 0.08815
1.20 1.10 0.05322
1.20 1.20 0.02558
1.20 1.30 0.00018
1.20 1.40 0.01959
1.20 1.50 0.03060
1.20 1.60 0.05383
1.20 1.70 0.06106
1.20 1.80 0.04853
1.20 1.90 0.06527
1.20 2.00 0.06488
1.20 2.10 0.05673
1.20 2.20 0.03639
1.20 2.30 0.06665
1.20 2.40 0.13382
1.20 2.50 0.06728
1.20 2.60 0.06469
1.20 2.70 0.06337
1.20 2.80 0.06312
1.20 2.90 0.05879
1.20 3.00 0.04963

1.30 0.00 0.52634
1.30 0.10 0.47863
1.30 0.20 0.46067
1.30 0.30 0.37063
1.30 0.40 0.30660
1.30 0.50 0.25338
1.30 0.60 0.25558
1.30 0.70 0.17225
1.30 0.80 0.14502
1.30 0.90 0.19517
1.30 1.00 0.14697
1.30 1.10 0.07861
1.30 1.20 0.01125
1.30 1.30 0.00906
1.30 1.40 0.03458
1.30 1.50 0.04554
1.30 1.60 0.03616
1.30 1.70 0.02533
1.30 1.80 0.05917
1.30 1.90 0.07337
1.30 2.00 0.08136
1.30 2.10 0.05764
1.30 2.20 0.03569
1.30 2.30 0.06146
1.30 2.40 0.04364
1.30 2.50 0.03914
1.30 2.60 0.05793
1.30 2.70 0.07061
1.30 2.80 0.02383
1.30 2.90 0.05225
1.30 3.00 0.02953

1.40 0.00 0.51104
1.40 0.10 0.49918
1.40 0.20 0.47109
1.40 0.30 0.28858
1.40 0.40 0.24371
1.40 0.50 0.27009
1.40 0.60 0.15995
1.40 0.70 0.17657
1.40 0.80 0.18706
1.40 0.90 0.22119
1.40 1.00 0.30087
1.40 1.10 0.12945
1.40 1.20 0.05911
1.40 1.30 0.02081
1.40 1.40 0.02289
1.40 1.50 0.03285
1.40 1.60 0.03015
1.40 1.70 0.03360
1.40 1.80 0.02623
1.40 1.90 0.04048
1.40 2.00 0.03925
1.40 2.10 0.05821
1.40 2.20 0.05198
1.40 2.30 0.07323
1.40 2.40 0.03659
1.40 2.50 0.04496
1.40 2.60 0.07069
1.40 2.70 0.05255
1.40 2.80 0.04857
1.40 2.90 0.04771
1.40 3.00 0.08219

1.50 0.00 0.50723
1.50 0.10 0.49736
1.50 0.20 0.47467
1.50 0.30 0.30167
1.50 0.40 0.40248
1.50 0.50 0.28964
1.50 0.60 0.24738
1.50 0.70 0.14928
1.50 0.80 0.18995
1.50 0.90 0.29800
1.50 1.00 0.22791
1.50 1.10 0.18682
1.50 1.20 0.08962
1.50 1.30 0.03629
1.50 1.40 0.03401
1.50 1.50 0.02049
1.50 1.60 0.02852
1.50 1.70 0.02320
1.50 1.80 0.04700
1.50 1.90 0.03570
1.50 2.00 0.01448
1.50 2.10 0.08886
1.50 2.20 0.04848
1.50 2.30 0.05167
1.50 2.40 0.01793
1.50 2.50 0.06636
1.50 2.60 0.03738
1.50 2.70 0.02819
1.50 2.80 0.03047
1.50 2.90 0.04169
1.50 3.00 0.04860

1.60 0.00 0.61088
1.60 0.10 0.50817
1.60 0.20 0.33436
1.60 0.30 0.47467
1.60 0.40 0.29783
1.60 0.50 0.29980
1.60 0.60 0.27815
1.60 0.70 0.27251
1.60 0.80 0.24770
1.60 0.90 0.23692
1.60 1.00 0.29957
1.60 1.10 0.23198
1.60 1.20 0.12987
1.60 1.30 0.03912
1.60 1.40 0.05637
1.60 1.50 0.01990
1.60 1.60 0.02274
1.60 1.70 0.01283
1.60 1.80 0.02911
1.60 1.90 0.02196
1.60 2.00 0.03313
1.60 2.10 0.05462
1.60 2.20 0.03430
1.60 2.30 0.03450
1.60 2.40 0.01543
1.60 2.50 0.04083
1.60 2.60 0.06178
1.60 2.70 0.03729
1.60 2.80 0.03997
1.60 2.90 0.06037
1.60 3.00 0.06942

1.70 0.00 0.73469
1.70 0.10 0.52639
1.70 0.20 0.63237
1.70 0.30 0.38415
1.70 0.40 0.32206
1.70 0.50 0.25911
1.70 0.60 0.26882
1.70 0.70 0.25935
1.70 0.80 0.21127
1.70 0.90 0.19591
1.70 1.00 0.32098
1.70 1.10 0.37175
1.70 1.20 0.19168
1.70 1.30 0.08984
1.70 1.40 0.06362
1.70 1.50 0.00668
1.70 1.60 0.03106
1.70 1.70 0.01987
1.70 1.80 0.01452
1.70 1.90 0.02251
1.70 2.00 0.04649
1.70 2.10 0.01855
1.70 2.20 0.04966
1.70 2.30 0.03701
1.70 2.40 0.05762
1.70 2.50 0.06283
1.70 2.60 0.02335
1.70 2.70 0.01236
1.70 2.80 0.02857
1.70 2.90 0.05741
1.70 3.00 0.02762

1.80 0.00 0.76182
1.80 0.10 0.50222
1.80 0.20 0.47819
1.80 0.30 0.41638
1.80 0.40 0.36741
1.80 0.50 0.25025
1.80 0.60 0.32004
1.80 0.70 0.23197
1.80 0.80 0.23502
1.80 0.90 0.31293
1.80 1.00 0.23813
1.80 1.10 0.32095
1.80 1.20 0.16647
1.80 1.30 0.09398
1.80 1.40 0.06524
1.80 1.50 0.01772
1.80 1.60 0.02140
1.80 1.70 0.02440
1.80 1.80 0.01042
1.80 1.90 0.02018
1.80 2.00 0.03002
1.80 2.10 0.03078
1.80 2.20 0.02603
1.80 2.30 0.02796
1.80 2.40 0.03650
1.80 2.50 0.04973
1.80 2.60 0.02911
1.80 2.70 0.05118
1.80 2.80 0.02026
1.80 2.90 0.02554
1.80 3.00 0.03538

1.90 0.00 0.70847
1.90 0.10 0.62190
1.90 0.20 0.71565
1.90 0.30 0.48458
1.90 0.40 0.52591
1.90 0.50 0.40573
1.90 0.60 0.28525
1.90 0.70 0.27978
1.90 0.80 0.22052
1.90 0.90 0.25805
1.90 1.00 0.24432
1.90 1.10 0.28211
1.90 1.20 0.23179
1.90 1.30 0.12395
1.90 1.40 0.07696
1.90 1.50 0.03533
1.90 1.60 0.01996
1.90 1.70 0.06576
1.90 1.80 0.04226
1.90 1.90 0.03431
1.90 2.00 0.05003
1.90 2.10 0.03591
1.90 2.20 0.01969
1.90 2.30 0.01135
1.90 2.40 0.03086
1.90 2.50 0.06381
1.90 2.60 0.05808
1.90 2.70 0.06344
1.90 2.80 0.05021
1.90 2.90 0.03190
1.90 3.00 0.03258

2.00 0.00 0.81587
2.00 0.10 0.74334
2.00 0.20 0.50524
2.00 0.30 0.38736
2.00 0.40 0.27767
2.00 0.50 0.26801
2.00 0.60 0.22667
2.00 0.70 0.34228
2.00 0.80 0.17055
2.00 0.90 0.28440
2.00 1.00 0.39111
2.00 1.10 0.35921
2.00 1.20 0.30303
2.00 1.30 0.17804
2.00 1.40 0.07838
2.00 1.50 0.06681
2.00 1.60 0.01386
2.00 1.70 0.01975
2.00 1.80 0.01181
2.00 1.90 0.02250
2.00 2.00 0.00376
2.00 2.10 0.01893
2.00 2.20 0.03686
2.00 2.30 0.05664
2.00 2.40 0.03368
2.00 2.50 0.03568
2.00 2.60 0.04501
2.00 2.70 0.06729
2.00 2.80 0.02958
2.00 2.90 0.03741
2.00 3.00 0.02127

2.10 0.00 0.77228
2.10 0.10 0.71211
2.10 0.20 0.63800
2.10 0.30 0.51885
2.10 0.40 0.51703
2.10 0.50 0.25240
2.10 0.60 0.29561
2.10 0.70 0.25510
2.10 0.80 0.31312
2.10 0.90 0.30156
2.10 1.00 0.37768
2.10 1.10 0.32616
2.10 1.20 0.30866
2.10 1.30 0.19351
2.10 1.40 0.05487
2.10 1.50 0.06176
2.10 1.60 0.05198
2.10 1.70 0.04421
2.10 1.80 0.02153
2.10 1.90 0.01434
2.10 2.00 0.03581
2.10 2.10 0.00912
2.10 2.20 0.02814
2.10 2.30 0.03987
2.10 2.40 0.01674
2.10 2.50 0.01133
2.10 2.60 0.05975
2.10 2.70 0.02842
2.10 2.80 0.03633
2.10 2.90 0.02647
2.10 3.00 0.04395

2.20 0.00 0.65592
2.20 0.10 0.63961
2.20 0.20 0.44782
2.20 0.30 0.43433
2.20 0.40 0.36773
2.20 0.50 0.39131
2.20 0.60 0.43581
