# S1 S2 MSE
0.70 2.70 0.13844
0.70 2.80 0.12032
0.70 2.90 0.15823
0.70 3.00 0.16828

0.80 0.00 0.52062
0.80 0.10 0.34716
0.80 0.20 0.23424
0.80 0.30 0.27427
0.80 0.40 0.18187
0.80 0.50 0.15284
0.80 0.60 0.17513
0.80 0.70 0.17825
0.80 0.80 0.06959
0.80 0.90 0.10649
0.80 1.00 0.10812
0.80 1.10 0.10541
0.80 1.20 0.17593
0.80 1.30 0.15217
0.80 1.40 0.19350
0.80 1.50 0.14063
0.80 1.60 0.13037
0.80 1.70 0.14534
0.80 1.80 0.14750
0.80 1.90 0.16764
0.80 2.00 0.15296
0.80 2.10 0.17171
0.80 2.20 0.18011
0.80 2.30 0.12026
0.80 2.40 0.15821
0.80 2.50 0.13948
0.80 2.60 0.17647
0.80 2.70 0.15348
0.80 2.80 0.11509
0.80 2.90 0.20438
0.80 3.00 0.16512

0.90 0.00 0.62144
0.90 0.10 0.40726
0.90 0.20 0.32558
0.90 0.30 0.33040
0.90 0.40 0.21477
0.90 0.50 0.19093
0.90 0.60 0.19391
0.90 0.70 0.23620
0.90 0.80 0.16815
0.90 0.90 0.15130
0.90 1.00 0.09627
0.90 1.10 0.15016
0.90 1.20 0.14413
0.90 1.30 0.11217
0.90 1.40 0.11691
0.90 1.50 0.15153
0.90 1.60 0.14420
0.90 1.70 0.11289
0.90 1.80 0.19375
0.90 1.90 0.16890
0.90 2.00 0.14731
0.90 2.10 0.14427
0.90 2.20 0.14995
0.90 2.30 0.12705
0.90 2.40 0.18648
0.90 2.50 0.21598
0.90 2.60 0.11176
0.90 2.70 0.10765
0.90 2.80 0.17044
0.90 2.90 0.18647
0.90 3.00 0.16530

1.00 0.00 0.68701
1.00 0.10 0.51292
1.00 0.20 0.38254
1.00 0.30 0.26157
1.00 0.40 0.23849
1.00 0.50 0.16696
1.00 0.60 0.21546
1.00 0.70 0.25528
1.00 0.80 0.26617
1.00 0.90 0.12138
1.00 1.00 0.09358
1.00 1.10 0.09083
1.00 1.20 0.12703
1.00 1.30 0.12395
1.00 1.40 0.12898
1.00 1.50 0.15731
1.00 1.60 0.14744
1.00 1.70 0.11970
1.00 1.80 0.13515
1.00 1.90 0.15686
1.00 2.00 0.13664
1.00 2.10 0.17551
1.00 2.20 0.13020
1.00 2.30 0.18051
1.00 2.40 0.19096
1.00 2.50 0.15111
1.00 2.60 0.15302
1.00 2.70 0.13359
1.00 2.80 0.16593
1.00 2.90 0.17405
1.00 3.00 0.13701

1.10 0.00 0.56481
1.10 0.10 0.58380
1.10 0.20 0.41973
1.10 0.30 0.36362
1.10 0.40 0.34422
1.10 0.50 0.24486
1.10 0.60 0.25970
1.10 0.70 0.26218
1.10 0.80 0.31727
1.10 0.90 0.23992
1.10 1.00 0.12091
1.10 1.10 0.10988
1.10 1.20 0.14416
1.10 1.30 0.11040
1.10 1.40 0.14291
1.10 1.50 0.10568
1.10 1.60 0.14888
1.10 1.70 0.12728
1.10 1.80 0.16376
1.10 1.90 0.11145
1.10 2.00 0.15072
1.10 2.10 0.13886
1.10 2.20 0.14506
1.10 2.30 0.20998
1.10 2.40 0.19513
1.10 2.50 0.14428
1.10 2.60 0.14202
1.10 2.70 0.18794
1.10 2.80 0.11970
1.10 2.90 0.14647
1.10 3.00 0.14548

1.20 0.00 0.81533
1.20 0.10 0.55881
1.20 0.20 0.50325
1.20 0.30 0.34622
1.20 0.40 0.40217
1.20 0.50 0.25280
1.20 0.60 0.30342
1.20 0.70 0.22392
1.20 0.80 0.28671
1.20 0.90 0.35292
1.20 1.00 0.23550
1.20 1.10 0.12126
1.20 1.20 0.09988
1.20 1.30 0.11652
1.20 1.40 0.11390
1.20 1.50 0.16635
1.20 1.60 0.12387
1.20 1.70 0.13309
1.20 1.80 0.11578
1.20 1.90 0.12749
1.20 2.00 0.16571
1.20 2.10 0.11229
1.20 2.20 0.12842
1.20 2.30 0.13870
1.20 2.40 0.14374
1.20 2.50 0.13809
1.20 2.60 0.13593
1.20 2.70 0.13561
1.20 2.80 0.16178
1.20 2.90 0.10805
1.20 3.00 0.12288

1.30 0.00 0.80890
1.30 0.10 0.54443
1.30 0.20 0.66841
1.30 0.30 0.54074
1.30 0.40 0.42331
1.30 0.50 0.40527
1.30 0.60 0.30460
1.30 0.70 0.26445
1.30 0.80 0.29203
1.30 0.90 0.32987
1.30 1.00 0.30467
1.30 1.10 0.14005
1.30 1.20 0.07972
1.30 1.30 0.09262
1.30 1.40 0.10315
1.30 1.50 0.12444
1.30 1.60 0.12935
1.30 1.70 0.12870
1.30 1.80 0.15810
1.30 1.90 0.13408
1.30 2.00 0.13055
1.30 2.10 0.13178
1.30 2.20 0.10701
1.30 2.30 0.15844
1.30 2.40 0.10246
1.30 2.50 0.17019
1.30 2.60 0.19767
1.30 2.70 0.14429
1.30 2.80 0.17463
1.30 2.90 0.14186
1.30 3.00 0.12629

1.40 0.00 0.89240
1.40 0.10 0.69604
1.40 0.20 0.45472
1.40 0.30 0.59708
1.40 0.40 0.45111
1.40 0.50 0.35923
1.40 0.60 0.35576
1.40 0.70 0.33687
1.40 0.80 0.38371
1.40 0.90 0.34345
1.40 1.00 0.35137
1.40 1.10 0.18077
1.40 1.20 0.14437
1.40 1.30 0.08817
1.40 1.40 0.11571
1.40 1.50 0.10516
1.40 1.60 0.09919
1.40 1.70 0.10574
1.40 1.80 0.11893
1.40 1.90 0.12967
1.40 2.00 0.13375
1.40 2.10 0.09877
1.40 2.20 0.14677
1.40 2.30 0.16940
1.40 2.40 0.13865
1.40 2.50 0.12915
1.40 2.60 0.13305
1.40 2.70 0.15848
1.40 2.80 0.15479
1.40 2.90 0.11761
1.40 3.00 0.16179

1.50 0.00 1.06926
1.50 0.10 0.69534
1.50 0.20 0.51882
1.50 0.30 0.46976
1.50 0.40 0.44171
1.50 0.50 0.34013
1.50 0.60 0.34442
1.50 0.70 0.30480
1.50 0.80 0.34320
1.50 0.90 0.36770
1.50 1.00 0.40275
1.50 1.10 0.33318
1.50 1.20 0.20102
1.50 1.30 0.11013
1.50 1.40 0.10469
1.50 1.50 0.10594
1.50 1.60 0.11859
1.50 1.70 0.12287
1.50 1.80 0.09652
1.50 1.90 0.12332
1.50 2.00 0.14385
1.50 2.10 0.14223
1.50 2.20 0.12215
1.50 2.30 0.11808
1.50 2.40 0.10108
1.50 2.50 0.11005
1.50 2.60 0.11465
1.50 2.70 0.10170
1.50 2.80 0.14435
1.50 2.90 0.16541
1.50 3.00 0.13094

1.60 0.00 0.88588
1.60 0.10 0.73135
1.60 0.20 0.71723
1.60 0.30 0.58965
1.60 0.40 0.43116
1.60 0.50 0.36121
1.60 0.60 0.40671
1.60 0.70 0.36815
1.60 0.80 0.28646
1.60 0.90 0.36943
1.60 1.00 0.47319
1.60 1.10 0.44314
1.60 1.20 0.20112
1.60 1.30 0.12686
1.60 1.40 0.12682
1.60 1.50 0.09378
1.60 1.60 0.11099
1.60 1.70 0.10924
1.60 1.80 0.12836
1.60 1.90 0.09792
1.60 2.00 0.10576
1.60 2.10 0.12299
1.60 2.20 0.11765
1.60 2.30 0.14700
1.60 2.40 0.14163
1.60 2.50 0.13775
1.60 2.60 0.12481
1.60 2.70 0.13628
1.60 2.80 0.14546
1.60 2.90 0.14102
1.60 3.00 0.13007

1.70 0.00 0.92118
1.70 0.10 1.05018
1.70 0.20 0.58779
1.70 0.30 0.56602
1.70 0.40 0.52999
1.70 0.50 0.42952
1.70 0.60 0.39644
1.70 0.70 0.36157
1.70 0.80 0.37906
1.70 0.90 0.38106
1.70 1.00 0.38582
1.70 1.10 0.45437
1.70 1.20 0.26306
1.70 1.30 0.19637
1.70 1.40 0.13230
1.70 1.50 0.12686
1.70 1.60 0.11223
1.70 1.70 0.10761
1.70 1.80 0.11790
1.70 1.90 0.11688
1.70 2.00 0.11834
1.70 2.10 0.11122
1.70 2.20 0.09605
1.70 2.30 0.13333
1.70 2.40 0.12758
1.70 2.50 0.10725
1.70 2.60 0.12090
1.70 2.70 0.10016
1.70 2.80 0.13556
1.70 2.90 0.11426
1.70 3.00 0.13468

1.80 0.00 0.95274
1.80 0.10 0.61881
1.80 0.20 0.87493
1.80 0.30 0.56294
1.80 0.40 0.51897
1.80 0.50 0.34676
1.80 0.60 0.38173
1.80 0.70 0.35747
1.80 0.80 0.44590
1.80 0.90 0.43584
1.80 1.00 0.38707
1.80 1.10 0.44563
1.80 1.20 0.29313
1.80 1.30 0.23351
1.80 1.40 0.19730
1.80 1.50 0.11251
1.80 1.60 0.12560
1.80 1.70 0.09558
1.80 1.80 0.09764
1.80 1.90 0.08505
1.80 2.00 0.09606
1.80 2.10 0.08655
1.80 2.20 0.11524
1.80 2.30 0.14304
