#S2/S1     MSE
0.00   0.181630
0.10   0.162571
0.20   0.114749
0.30   0.086558
0.40   0.069532
0.50   0.045314
0.60   0.032978
0.70   0.023625
0.80   0.017685
0.90   0.020860
1.00   0.000000
1.10   0.010282
1.20   0.016949
1.30   0.021508
1.40   0.026446
1.50   0.032112
1.60   0.037226
1.70   0.036050
1.80   0.035742
1.90   0.041405
2.00   0.039311
2.10   0.043013
2.20   0.048689
2.30   0.030603
2.40   0.040284
2.50   0.038604
2.60   0.047345
2.70   0.042512
2.80   0.037632
2.90   0.035113
3.00   0.038660
