#S2/S1     MSE
0.00   0.552451
0.10   0.405870
0.20   0.317915
0.30   0.236498
0.40   0.182419
0.50   0.131938
0.60   0.105895
0.70   0.096773
0.80   0.158446
0.90   0.032600
1.00   0.000000
1.10   0.008065
1.20   0.019249
1.30   0.029213
1.40   0.029386
1.50   0.045081
1.60   0.053520
1.70   0.051128
1.80   0.039039
1.90   0.053521
2.00   0.040854
2.10   0.044800
2.20   0.063464
2.30   0.049987
2.40   0.048589
2.50   0.126223
2.60   0.054663
2.70   0.040178
2.80   0.051925
2.90   0.049412
3.00   0.055583
