#S1	S2	MSE
0.40	3.00	5.9737485204e-02
0.50	0.00	1.0000000000e+00
0.50	0.10	1.1488201045e-01
0.50	0.20	6.4430951943e-02
0.50	0.30	3.3725337353e-02
0.50	0.40	2.2131684139e-02
0.50	0.50	NaN
0.50	0.60	2.8330443246e-02
0.50	0.70	4.6732575863e-02
0.50	0.80	5.8351497517e-02
0.50	0.90	6.5822976853e-02
0.50	1.00	7.0548899470e-02
0.50	1.10	7.3437150023e-02
0.50	1.20	7.5124744927e-02
0.50	1.30	7.6061256012e-02
0.50	1.40	7.6552845949e-02
0.50	1.50	7.6796379982e-02
0.50	1.60	7.6910132113e-02
0.50	1.70	7.6960220948e-02
0.50	1.80	7.6981020188e-02
0.50	1.90	7.6989169390e-02
0.50	2.00	7.6992183793e-02
0.50	2.10	7.6993237081e-02
0.50	2.20	7.6993584909e-02
0.50	2.30	7.6993693508e-02
0.50	2.40	7.6993725577e-02
0.50	2.50	7.6993734536e-02
0.50	2.60	7.6993736904e-02
0.50	2.70	7.6993737497e-02
0.50	2.80	7.6993737637e-02
0.50	2.90	7.6993737668e-02
0.50	3.00	7.6993737675e-02
0.60	0.00	1.0000000000e+00
0.60	0.10	1.6719896345e-01
0.60	0.20	1.0513543051e-01
0.60	0.30	6.2880786728e-02
0.60	0.40	4.0234329095e-02
0.60	0.50	3.5724076880e-02
0.60	0.60	NaN
0.60	0.70	2.6821960972e-02
0.60	0.80	4.7934257012e-02
0.60	0.90	6.2302963785e-02
0.60	1.00	7.2173799716e-02
0.60	1.10	7.8893569482e-02
0.60	1.20	8.3370245449e-02
0.60	1.30	8.6264999778e-02
0.60	1.40	8.8071866224e-02
0.60	1.50	8.9156457015e-02
0.60	1.60	8.9780994532e-02
0.60	1.70	9.0125470523e-02
0.60	1.80	9.0307333108e-02
0.60	1.90	9.0399211773e-02
0.60	2.00	9.0443636149e-02
0.60	2.10	9.0464199450e-02
0.60	2.20	9.0473315224e-02
0.60	2.30	9.0477186850e-02
0.60	2.40	9.0478762834e-02
0.60	2.50	9.0479377885e-02
0.60	2.60	9.0479608078e-02
0.60	2.70	9.0479690720e-02
0.60	2.80	9.0479719186e-02
0.60	2.90	9.0479728594e-02
0.60	3.00	9.0479731579e-02
0.70	0.00	1.0000000000e+00
0.70	0.10	2.2384118407e-01
0.70	0.20	1.5148560031e-01
0.70	0.30	9.8970985385e-02
0.70	0.40	6.6199000040e-02
0.70	0.50	5.2732932758e-02
0.70	0.60	5.5034150118e-02
0.70	0.70	NaN
0.70	0.80	2.3810899880e-02
0.70	0.90	4.6002407250e-02
0.70	1.00	6.2169524684e-02
0.70	1.10	7.3858983226e-02
0.70	1.20	8.2232432306e-02
0.70	1.30	8.8132901444e-02
0.70	1.40	9.2199916851e-02
0.70	1.50	9.4930386764e-02
0.70	1.60	9.6710396246e-02
0.70	1.70	9.7834643513e-02
0.70	1.80	9.8521544269e-02
0.70	1.90	9.8927150403e-02
0.70	2.00	9.9158502284e-02
0.70	2.10	9.9285947238e-02
0.70	2.20	9.9353754236e-02
0.70	2.30	9.9388604819e-02
0.70	2.40	9.9405912616e-02
0.70	2.50	9.9414220554e-02
0.70	2.60	9.9418076102e-02
0.70	2.70	9.9419806448e-02
0.70	2.80	9.9420557612e-02
0.70	2.90	9.9420873098e-02
0.70	3.00	9.9421001315e-02
0.80	0.00	1.0000000000e+00
0.80	0.10	2.8269064702e-01
0.80	0.20	2.0128428751e-01
0.80	0.30	1.3973894031e-01
0.80	0.40	9.7995773874e-02
0.80	0.50	7.5841746197e-02
0.80	0.60	7.2365299162e-02
0.80	0.70	7.7493775590e-02
0.80	0.80	NaN
0.80	0.90	2.0189011154e-02
0.80	1.00	4.1996552509e-02
0.80	1.10	5.8935957755e-02
0.80	1.20	7.1731346924e-02
0.80	1.30	8.1264633436e-02
0.80	1.40	8.8259587929e-02
0.80	1.50	9.3298191376e-02
0.80	1.60	9.6850973571e-02
0.80	1.70	9.9297458577e-02
0.80	1.80	1.0093972146e-01
0.80	1.90	1.0201293024e-01
0.80	2.00	1.0269504988e-01
0.80	2.10	1.0311646981e-01
0.80	2.20	1.0336946478e-01
0.80	2.30	1.0351703781e-01
0.80	2.40	1.0360067919e-01
0.80	2.50	1.0364674906e-01
0.80	2.60	1.0367141401e-01
0.80	2.70	1.0368425229e-01
0.80	2.80	1.0369075049e-01
0.80	2.90	1.0369394960e-01
0.80	3.00	1.0369548175e-01
0.90	0.00	1.0000000000e+00
0.90	0.10	3.4192725564e-01
0.90	0.20	2.5262379197e-01
0.90	0.30	1.8319533569e-01
0.90	0.40	1.3360218484e-01
0.90	0.50	1.0371484866e-01
0.90	0.60	9.3112306113e-02
0.90	0.70	9.9742959511e-02
0.90	0.80	8.5308334822e-02
0.90	0.90	NaN
0.90	1.00	1.6566083603e-02
0.90	1.10	3.6894438210e-02
0.90	1.20	5.3669679611e-02
0.90	1.30	6.6848910285e-02
0.90	1.40	7.6994451958e-02
0.90	1.50	8.4676188915e-02
0.90	1.60	9.0392990653e-02
0.90	1.70	9.4568334356e-02
0.90	1.80	9.7556497224e-02
0.90	1.90	9.9649198730e-02
0.90	2.00	1.0108183244e-01
0.90	2.10	1.0203977311e-01
0.90	2.20	1.0266505532e-01
0.90	2.30	1.0306334542e-01
0.90	2.40	1.0331088085e-01
0.90	2.50	1.0346097958e-01
0.90	2.60	1.0354978675e-01
0.90	2.70	1.0360106196e-01
0.90	2.80	1.0362995731e-01
0.90	2.90	1.0364585335e-01
0.90	3.00	1.0365439164e-01
1.00	0.00	1.0000000000e+00
1.00	0.10	4.0003607531e-01
1.00	0.20	3.0389641384e-01
1.00	0.30	2.2764217073e-01
1.00	0.40	1.7124423177e-01
1.00	0.50	1.3461323695e-01
1.00	0.60	1.1749983097e-01
1.00	0.70	1.1903706981e-01
1.00	0.80	1.3373024747e-01
1.00	0.90	5.3108400438e-02
1.00	1.00	NaN
1.00	1.10	1.3281797918e-02
1.00	1.20	3.1458026954e-02
1.00	1.30	4.7327300475e-02
1.00	1.40	6.0251730562e-02
1.00	1.50	7.0487488323e-02
1.00	1.60	7.8439494106e-02
1.00	1.70	8.4510049951e-02
1.00	1.80	8.9062891389e-02
1.00	1.90	9.2414938381e-02
1.00	2.00	9.4835662242e-02
1.00	2.10	9.6549058242e-02
1.00	2.20	9.7736957955e-02
1.00	2.30	9.8543288276e-02
1.00	2.40	9.9078993465e-02
1.00	2.50	9.9427287305e-02
1.00	2.60	9.9648876607e-02
1.00	2.70	9.9786835003e-02
1.00	2.80	9.9870893898e-02
1.00	2.90	9.9921025590e-02
1.00	3.00	9.9950294093e-02
1.10	0.00	1.0000000000e+00
1.10	0.10	4.5580393163e-01
1.10	0.20	3.5379363718e-01
1.10	0.30	2.7167680777e-01
1.10	0.40	2.0943073594e-01
1.10	0.50	1.6698837860e-01
1.10	0.60	1.4417978820e-01
1.10	0.70	1.4051487931e-01
1.10	0.80	1.5398439789e-01
